game_id,season,season_id,game_url,home_team_game_id,away_team_game_id,date,game_time,home_team_name,away_team_name,home_team_id,away_team_id,head_to_head_id,game_type,playoff_round,last_period_type,period_length,ot_period_length,shootout_rounds,home_total_goals,away_total_goals,home_team_period1_goals,home_team_period2_goals,home_team_period3_goals,home_team_periodOT_goals,away_team_period1_goals,away_team_period2_goals,away_team_period3_goals,away_team_periodOT_goals,home_team_seeding,away_team_seeding,home_team_w,home_team_l,home_team_t,home_team_pts,away_team_w,away_team_l,away_team_t,away_team_pts,video_id,video_start_time,video_end_time,video_title,video_url
18014,20242025,,https://www.noradhockey.com/event/18014/,18014N10003,18014N10005,2025-01-05,,HollowBrook,OS Offices,,,N10003_N10005,Regular,,Regulation,00:18:00,00:00:00,0.0,2,4,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18013,20242025,,https://www.noradhockey.com/event/18013/,18013N10004,18013N10001,2025-01-05,,Nelson,Amos,,,N10001_N10004,Regular,,Regulation,00:18:00,00:00:00,0.0,11,2,3.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17955,20242025,,https://www.noradhockey.com/event/17955/,17955N10001,17955N10006,2024-12-29,,Amos,Orphans,,,N10001_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,2,4,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18011,20242025,,https://www.noradhockey.com/event/18011/,18011N10007,18011N10002,2024-12-22,,Outlaws,Ace,,,N10002_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,5,5,4.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
18010,20242025,,https://www.noradhockey.com/event/18010/,18010N10003,18010N10009,2024-12-22,,HollowBrook,Triple J,,,N10003_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,3,4,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18009,20242025,,https://www.noradhockey.com/event/18009/,18009N10004,18009N10008,2024-12-22,,Nelson,Platinum,,,N10004_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,4,4,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
18008,20242025,,https://www.noradhockey.com/event/18008/,18008N10001,18008N10005,2024-12-22,,Amos,OS Offices,,,N10001_N10005,Regular,,Regulation,00:18:00,00:00:00,0.0,4,7,2.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18006,20242025,,https://www.noradhockey.com/event/18006/,18006N10003,18006N10006,2024-12-15,,HollowBrook,Orphans,,,N10003_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,5,2,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18005,20242025,,https://www.noradhockey.com/event/18005/,18005N10004,18005N10002,2024-12-15,,Nelson,Ace,,,N10002_N10004,Regular,,Regulation,00:18:00,00:00:00,0.0,8,6,4.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18004,20242025,,https://www.noradhockey.com/event/18004/,18004N10001,18004N10009,2024-12-15,,Amos,Triple J,,,N10001_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,5,7,2.0,1.0,2.0,0.0,1.0,1.0,5.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18003,20242025,,https://www.noradhockey.com/event/18003/,18003N10005,18003N10008,2024-12-15,,OS Offices,Platinum,,,N10005_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,4,7,1.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17996,20242025,,https://www.noradhockey.com/event/17996/,17996N10001,17996N10003,2024-11-24,,Amos,HollowBrook,,,N10001_N10003,Regular,,Regulation,00:18:00,00:00:00,0.0,2,4,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17995,20242025,,https://www.noradhockey.com/event/17995/,17995N10005,17995N10007,2024-11-24,,OS Offices,Outlaws,,,N10005_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,2,3,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17994,20242025,,https://www.noradhockey.com/event/17994/,17994N10008,17994N10006,2024-11-24,,Platinum,Orphans,,,N10006_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,4,4,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
17993,20242025,,https://www.noradhockey.com/event/17993/,17993N10009,17993N10002,2024-11-24,,Triple J,Ace,,,N10002_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,8,3,3.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17991,20242025,,https://www.noradhockey.com/event/17991/,17991N10005,17991N10004,2024-11-17,,OS Offices,Nelson,,,N10004_N10005,Regular,,Regulation,00:18:00,00:00:00,0.0,5,5,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
17990,20242025,,https://www.noradhockey.com/event/17990/,17990N10008,17990N10003,2024-11-17,,Platinum,HollowBrook,,,N10003_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,5,2,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17989,20242025,,https://www.noradhockey.com/event/17989/,17989N10009,17989N10007,2024-11-17,,Triple J,Outlaws,,,N10007_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,6,4,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17988,20242025,,https://www.noradhockey.com/event/17988/,17988N10002,17988N10006,2024-11-17,,Ace,Orphans,,,N10002_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,3,6,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17986,20242025,,https://www.noradhockey.com/event/17986/,17986N10008,17986N10001,2024-11-10,,Platinum,Amos,,,N10001_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,4,5,1.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17985,20242025,,https://www.noradhockey.com/event/17985/,17985N10009,17985N10004,2024-11-10,,Triple J,Nelson,,,N10004_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,2,2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
17984,20242025,,https://www.noradhockey.com/event/17984/,17984N10002,17984N10003,2024-11-10,,Ace,HollowBrook,,,N10002_N10003,Regular,,Regulation,00:18:00,00:00:00,0.0,2,8,1.0,0.0,1.0,,3.0,5.0,0.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17983,20242025,,https://www.noradhockey.com/event/17983/,17983N10006,17983N10007,2024-11-10,,Orphans,Outlaws,,,N10006_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,6,5,1.0,1.0,4.0,0.0,1.0,2.0,2.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17981,20242025,,https://www.noradhockey.com/event/17981/,17981N10009,17981N10005,2024-11-03,,Triple J,OS Offices,,,N10005_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,4,6,3.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17980,20242025,,https://www.noradhockey.com/event/17980/,17980N10002,17980N10001,2024-11-03,,Ace,Amos,,,N10001_N10002,Regular,,Regulation,00:18:00,00:00:00,0.0,3,4,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17979,20242025,,https://www.noradhockey.com/event/17979/,17979N10006,17979N10004,2024-11-03,,Orphans,Nelson,,,N10004_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,5,4,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17978,20242025,,https://www.noradhockey.com/event/17978/,17978N10007,17978N10003,2024-11-03,,Outlaws,HollowBrook,,,N10003_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,0,9,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17976,20242025,,https://www.noradhockey.com/event/17976/,17976N10002,17976N10008,2024-10-27,,Ace,Platinum,,,N10002_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,2,9,1.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17975,20242025,,https://www.noradhockey.com/event/17975/,17975N10006,17975N10005,2024-10-27,,Orphans,OS Offices,,,N10005_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,3,2,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17974,20242025,,https://www.noradhockey.com/event/17974/,17974N10007,17974N10001,2024-10-27,,Outlaws,Amos,,,N10001_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,0,5,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17973,20242025,,https://www.noradhockey.com/event/17973/,17973N10003,17973N10004,2024-10-27,,HollowBrook,Nelson,,,N10003_N10004,Regular,,Regulation,00:18:00,00:00:00,0.0,5,2,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17971,20242025,,https://www.noradhockey.com/event/17971/,17971N10006,17971N10009,2024-10-20,,Orphans,Triple J,,,N10006_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,4,6,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17970,20242025,,https://www.noradhockey.com/event/17970/,17970N10007,17970N10008,2024-10-20,,Outlaws,Platinum,,,N10007_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,5,4,3.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
