rink_zone_id,zone_code,zone_name,granularity,x_min,x_max,y_min,y_max,zone,danger,side,x_description,y_description
RZOZ37,OZ37,half way to dot to dot - post to post,fine,69.0,76.5,-5.5,5.5,offensive,high,center,half way to dot to dot,post to post
RZOZ38,OZ38,half way to dot to dot - hash to post,fine,69.0,76.5,5.5,7.5,offensive,high,center,half way to dot to dot,hash to post
RZOZ39,OZ39,half way to dot to dot - hash to half way to dot,fine,69.0,76.5,7.5,15.0,offensive,mid,left,half way to dot to dot,hash to half way to dot
RZOZ40,OZ40,half way to dot to dot - half way to dot to dot,fine,69.0,76.5,15.0,22.5,offensive,mid,left,half way to dot to dot,half way to dot to dot
RZOZ41,OZ41,half way to dot to dot - dot to half way to dot,fine,69.0,76.5,22.5,30.0,offensive,low,left,half way to dot to dot,dot to half way to dot
RZOZ42,OZ42,half way to dot to dot - half way to dot to hash,fine,69.0,76.5,30.0,37.5,offensive,low,left,half way to dot to dot,half way to dot to hash
RZOZ43,OZ43,half way to dot to dot - hash to boards,fine,69.0,76.5,37.5,42.5,offensive,low,left,half way to dot to dot,hash to boards
RZOZ44,OZ44,dot to half way to dot - boards to hash,fine,61.5,69.0,-42.5,-37.5,offensive,low,right,dot to half way to dot,boards to hash
RZOZ45,OZ45,dot to half way to dot - hash to half way to dot,fine,61.5,69.0,-37.5,-30.0,offensive,low,right,dot to half way to dot,hash to half way to dot
RZOZ46,OZ46,dot to half way to dot - half way to dot to dot,fine,61.5,69.0,-30.0,-22.5,offensive,low,right,dot to half way to dot,half way to dot to dot
RZOZ47,OZ47,dot to half way to dot - dot to half way to dot,fine,61.5,69.0,-22.5,-15.0,offensive,mid,right,dot to half way to dot,dot to half way to dot
RZOZ48,OZ48,dot to half way to dot - half way to dot to hash,fine,61.5,69.0,-15.0,-7.5,offensive,mid,right,dot to half way to dot,half way to dot to hash
RZOZ49,OZ49,dot to half way to dot - hash to post,fine,61.5,69.0,-7.5,-5.5,offensive,mid,center,dot to half way to dot,hash to post
RZOZ50,OZ50,dot to half way to dot - post to post,fine,61.5,69.0,-5.5,5.5,offensive,mid,center,dot to half way to dot,post to post
RZOZ51,OZ51,dot to half way to dot - hash to post,fine,61.5,69.0,5.5,7.5,offensive,mid,center,dot to half way to dot,hash to post
RZOZ52,OZ52,dot to half way to dot - hash to half way to dot,fine,61.5,69.0,7.5,15.0,offensive,mid,left,dot to half way to dot,hash to half way to dot
RZOZ53,OZ53,dot to half way to dot - half way to dot to dot,fine,61.5,69.0,15.0,22.5,offensive,mid,left,dot to half way to dot,half way to dot to dot
RZOZ54,OZ54,dot to half way to dot - dot to half way to dot,fine,61.5,69.0,22.5,30.0,offensive,low,left,dot to half way to dot,dot to half way to dot
RZOZ55,OZ55,dot to half way to dot - half way to dot to hash,fine,61.5,69.0,30.0,37.5,offensive,low,left,dot to half way to dot,half way to dot to hash
RZOZ56,OZ56,dot to half way to dot - hash to boards,fine,61.5,69.0,37.5,42.5,offensive,low,left,dot to half way to dot,hash to boards
RZOZ57,OZ57,half way to dot to top of circle - boards to hash,fine,54.0,61.5,-42.5,-37.5,offensive,low,right,half way to dot to top of circle,boards to hash
RZOZ58,OZ58,half way to dot to top of circle - hash to half way to dot,fine,54.0,61.5,-37.5,-30.0,offensive,low,right,half way to dot to top of circle,hash to half way to dot
RZOZ59,OZ59,half way to dot to top of circle - half way to dot to dot,fine,54.0,61.5,-30.0,-22.5,offensive,low,right,half way to dot to top of circle,half way to dot to dot
RZOZ60,OZ60,half way to dot to top of circle - dot to half way to dot,fine,54.0,61.5,-22.5,-15.0,offensive,mid,right,half way to dot to top of circle,dot to half way to dot
RZOZ61,OZ61,half way to dot to top of circle - half way to dot to hash,fine,54.0,61.5,-15.0,-7.5,offensive,mid,right,half way to dot to top of circle,half way to dot to hash
RZOZ62,OZ62,half way to dot to top of circle - hash to post,fine,54.0,61.5,-7.5,-5.5,offensive,mid,center,half way to dot to top of circle,hash to post
RZOZ63,OZ63,half way to dot to top of circle - post to post,fine,54.0,61.5,-5.5,5.5,offensive,mid,center,half way to dot to top of circle,post to post
RZOZ64,OZ64,half way to dot to top of circle - hash to post,fine,54.0,61.5,5.5,7.5,offensive,mid,center,half way to dot to top of circle,hash to post
RZOZ65,OZ65,half way to dot to top of circle - hash to half way to dot,fine,54.0,61.5,7.5,15.0,offensive,mid,left,half way to dot to top of circle,hash to half way to dot
RZOZ66,OZ66,half way to dot to top of circle - half way to dot to dot,fine,54.0,61.5,15.0,22.5,offensive,mid,left,half way to dot to top of circle,half way to dot to dot
RZOZ67,OZ67,half way to dot to top of circle - dot to half way to dot,fine,54.0,61.5,22.5,30.0,offensive,low,left,half way to dot to top of circle,dot to half way to dot
RZOZ68,OZ68,half way to dot to top of circle - half way to dot to hash,fine,54.0,61.5,30.0,37.5,offensive,low,left,half way to dot to top of circle,half way to dot to hash
RZOZ69,OZ69,half way to dot to top of circle - hash to boards,fine,54.0,61.5,37.5,42.5,offensive,low,left,half way to dot to top of circle,hash to boards
RZOZ70,OZ70,top of circle to half way to blue - boards to hash,fine,38.5,54.0,-42.5,-37.5,offensive,low,right,top of circle to half way to blue,boards to hash
RZOZ71,OZ71,top of circle to half way to blue - hash to half way to dot,fine,38.5,54.0,-37.5,-30.0,offensive,low,right,top of circle to half way to blue,hash to half way to dot
RZOZ72,OZ72,top of circle to half way to blue - half way to dot to dot,fine,38.5,54.0,-30.0,-22.5,offensive,low,right,top of circle to half way to blue,half way to dot to dot
RZOZ73,OZ73,top of circle to half way to blue - dot to half way to dot,fine,38.5,54.0,-22.5,-15.0,offensive,low,right,top of circle to half way to blue,dot to half way to dot
RZOZ74,OZ74,top of circle to half way to blue - half way to dot to hash,fine,38.5,54.0,-15.0,-7.5,offensive,low,right,top of circle to half way to blue,half way to dot to hash
RZOZ75,OZ75,top of circle to half way to blue - hash to post,fine,38.5,54.0,-7.5,-5.5,offensive,mid,center,top of circle to half way to blue,hash to post
RZOZ76,OZ76,top of circle to half way to blue - post to post,fine,38.5,54.0,-5.5,5.5,offensive,mid,center,top of circle to half way to blue,post to post
