chain_id,game_id,season_id,entry_event_key,shot_event_key,entry_event_index,shot_event_index,events_to_shot,entry_type,shot_result,is_goal,team_id,team_name,home_team_id,away_team_id,home_team_name,away_team_name,event_types_chain,event_details_chain,entry_player_id,entry_player_name,shot_player_id,shot_player_name,players_touched_count,sequence_key,play_key,zone_id,zone_entry_type_id,shot_result_detail_id,time_bucket_id,strength_id,shot_type_id
CH1896909223,18969,N20252026F,EV1896909223,EV1896909225,9223,9225,2,ZoneEntry-DumpIn,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Shot,Zone_Entry > Pass_Completed > Shot_OnNetSaved,,,,,0,SQ1896900125,PL1896912507,ZN03,ZE0003,ED0040,,,
CH1897701017,18977,N20252026F,EV1897701017,EV1897701018,1017,1018,1,ZoneEntry-Rush,Shot-Blocked,False,N10003,HollowBrook,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Shot,Zone-Entry > Shot-Blocked,P100084,Ty Smith,P100084,Ty Smith,1,SQ1897700004,PL1897700403,nan,ZE0010,,TB01,STR0001,ST0014
CH1897701022,18977,N20252026F,EV1897701022,EV1897701031,1022,1031,9,ZoneEntry-DumpIn,Shot-OnNet,False,N10010,Velodrome,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Turnover > Possession > Turnover > Possession > Turnover > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Shot,Zone-Entry > Turnover-Giveaway > Turnover-Giveaway > Pass-Completed > Turnover-Giveaway > Zone-Exit > Zone-Entry > Shot-OnNet,P100159,Josh Cronk,P100088,Hayden Smith,4,SQ1897700004,PL1897700406,nan,ZE0003,,TB01,STR0001,ST0014
CH1897701030,18977,N20252026F,EV1897701030,EV1897701031,1030,1031,1,ZoneEntry-Rush,Shot-OnNet,False,N10003,HollowBrook,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Shot,Zone-Entry > Shot-OnNet,P100088,Hayden Smith,P100088,Hayden Smith,1,SQ1897700004,PL1897700411,nan,ZE0010,,TB01,STR0001,ST0014
CH1897701057,18977,N20252026F,EV1897701057,EV1897701067,1057,1067,10,ZoneEntry-Rush,Shot_Missed,False,N10003,HollowBrook,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Turnover > Possession > Pass > Possession > Pass > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Turnover > Shot,Zone_Entry > Turnover_Giveaway > Pass_Completed > Pass_Completed > Zone_Exit > Zone_Entry > Turnover_Takeaway > Shot_Missed,P100047,Nathan Watts,P100230,Jennifer Valente,6,SQ1897700008,PL1897700807,nan,ZE0010,ED0038,TB02,STR0001,ST0014
CH1897701065,18977,N20252026F,EV1897701065,EV1897701067,1065,1067,2,ZoneEntry-Rush,Shot_Missed,False,N10010,Velodrome,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Turnover > Shot,Zone_Entry > Turnover_Takeaway > Shot_Missed,P100070,Hayden Perea,P100230,Jennifer Valente,3,SQ1897700008,PL1897700810,nan,ZE0010,ED0038,TB02,STR0001,ST0014
CH1897701075,18977,N20252026F,EV1897701075,EV1897701076,1075,1076,1,ZoneEntry-Rush,Shot_OnNetSaved,False,N10003,HollowBrook,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Shot,Zone_Entry > Shot_OnNetSaved,P100049,Kirk Moore,P100049,Kirk Moore,1,SQ1897700008,PL1897700814,nan,ZE0010,ED0040,TB02,STR0001,ST0014
CH1897701086,18977,N20252026F,EV1897701086,EV1897701087,1086,1087,1,ZoneEntry-Rush,Shot_OnNetSaved,False,N10010,Velodrome,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Shot,Zone_Entry > Shot_OnNetSaved,P100105,Ronnie Pinnell,P100105,Ronnie Pinnell,1,SQ1897700010,PL1897701002,nan,ZE0010,ED0040,TB02,STR0001,ST0011
CH1897701102,18977,N20252026F,EV1897701102,EV1897701103,1102,1103,1,ZoneEntry-Rush,Shot_Blocked,False,N10003,HollowBrook,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Blocked,P100088,Hayden Smith,P100088,Hayden Smith,1,SQ1897700012,PL1897701205,nan,ZE0010,ED0033,TB02,STR0001,ST0014
CH1897701132,18977,N20252026F,EV1897701132,EV1897701139,1132,1139,7,ZoneEntry-Rush,Shot_Missed,False,N10010,Velodrome,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Turnover > Turnover > Turnover > Zone_Entry_Exit > Possession > Pass > Shot,Zone_Entry > Turnover_Takeaway > Turnover_Giveaway > Turnover_Giveaway > Zone_Keepin > Pass_Missed > Shot_Missed,P100161,Galen Wood,P100039,Nicole Downs,5,SQ1897700012,PL1897701219,nan,ZE0010,ED0038,TB02,STR0001,ST0014
CH1897701146,18977,N20252026F,EV1897701146,EV1897701150,1146,1150,4,ZoneEntry-Rush,Shot_BlockedSameTeam,False,N10003,HollowBrook,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Turnover > Turnover > Possession > Shot,Zone_Entry > Turnover_Giveaway > Turnover_Giveaway > Shot_BlockedSameTeam,P100047,Nathan Watts,P100100,Nate Flint,3,SQ1897700012,PL1897701225,nan,ZE0010,ED0034,TB02,STR0001,ST0014
CH1897701158,18977,N20252026F,EV1897701158,EV1897701167,1158,1167,9,ZoneEntry-DumpIn,Shot_Blocked,False,N10003,HollowBrook,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Turnover > Possession > Possession > Pass > Possession > Pass > Turnover > Zone_Entry_Exit > Shot,Zone_Entry > Turnover_Giveaway > Pass_Completed > Pass_Intercepted > Turnover_Giveaway > Zone_Keepin > Shot_Blocked,P100081,Lee Smith,P100081,Lee Smith,4,SQ1897700012,PL1897701231,nan,ZE0003,ED0033,TB02,STR0001,ST0014
CH1897701173,18977,N20252026F,EV1897701173,EV1897701174,1173,1174,1,ZoneEntry-Rush,Shot_OnNetSaved,False,N10010,Velodrome,N10010,N10003,Velodrome,HollowBrook,Zone_Entry_Exit > Shot,Zone_Entry > Shot_OnNetSaved,P100198,Maxwell Donaty,P100198,Maxwell Donaty,1,SQ1897700012,PL1897701236,nan,ZE0010,ED0040,TB02,STR0001,ST0014
