scoring_chance_key,game_id,event_id,period,is_goal,danger_level,is_rebound,is_rush,is_odd_man,event_detail,event_detail_2,time_bucket_id,strength_id,shot_type_id,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC18969_EV1896901749,18969,EV1896901749,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,5.0,0.0,408.0,698.0,1261.0,753.0,157.0,139.0,1535.0,,,,,,3158.0,1045.0,,,,,1535.0,1535.0,1535.0,2101.5,1045.0,3158.0
SC18969_EV1896901755,18969,EV1896901755,2,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,2.0,3.0,399.0,689.0,1270.0,762.0,148.0,148.0,1754.0,,,,,,1296.0,,,,,,1754.0,1754.0,1754.0,1296.0,1296.0,1296.0
SC18969_EV1896901759,18969,EV1896901759,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,2.0,392.0,682.0,1277.0,769.0,141.0,155.0,995.0,,,,,,3158.0,1045.0,,,,,995.0,995.0,995.0,2101.5,1045.0,3158.0
SC18969_EV1896901825,18969,EV1896901825,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,2.0,0.0,592.0,302.0,859.0,1367.0,51.0,245.0,939.0,,,,,,3240.0,,,,,,939.0,939.0,939.0,3240.0,3240.0,3240.0
SC18969_EV1896901858,18969,EV1896901858,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Backhand,,,,0.0,2.0,542.0,252.0,909.0,1417.0,1.0,295.0,939.0,,,,,,3240.0,,,,,,939.0,939.0,939.0,3240.0,3240.0,3240.0
SC18969_EV1896901873,18969,EV1896901873,2,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,6.0,1.0,202.0,492.0,1467.0,959.0,39.0,49.0,1680.0,,,,,,1024.0,1045.0,,,,,1680.0,1680.0,1680.0,1034.5,1024.0,1045.0
SC18969_EV1896901889,18969,EV1896901889,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,453.0,163.0,998.0,1506.0,97.0,88.0,968.0,,,,,,1680.0,3240.0,,,,,968.0,968.0,968.0,2460.0,1680.0,3240.0
SC18969_EV1896901931,18969,EV1896901931,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,369.0,79.0,1082.0,1590.0,13.0,84.0,1257.0,,,,,,1480.0,3240.0,,,,,1257.0,1257.0,1257.0,2360.0,1480.0,3240.0
SC18969_EV1896901941,18969,EV1896901941,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,3.0,66.0,356.0,1603.0,1095.0,66.0,97.0,1754.0,,,,,,3158.0,,,,,,1754.0,1754.0,1754.0,3158.0,3158.0,3158.0
SC18969_EV1896901947,18969,EV1896901947,2,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,3.0,2.0,40.0,330.0,1629.0,1121.0,40.0,26.0,1480.0,,,,,,1257.0,,,,,,1480.0,1480.0,1480.0,1257.0,1257.0,1257.0
