play_key,play_id,game_id,season_id,period,period_id,sequence_key,first_event_key,last_event_key,event_count,start_min,start_sec,duration_seconds,video_time_start,video_time_end,time_bucket_id,strength_id,home_team,home_team_id,away_team,away_team_id,start_zone,end_zone,start_zone_id,end_zone_id,event_types,has_goal,goal_count,has_shot,shot_count,zone_entry_count,zone_exit_count,pass_count,pass_success_count,turnover_count,giveaway_count,takeaway_count,unique_player_count,player_ids
PL1896912505,PL1896912505,18969,N20252026F,3,P03,SQ1896900125,EV1896902509,EV1896902522,7,2.0,32.0,0.0,3224.0,3241.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Pass,Turnover,Shot,Save,Rebound,Pass,Zone_Entry_Exit",False,0,True,1,0,0,2,0,1,0,0,5,"P100001,P100022,P100039,P100117,P100202"
PL1896905703,PL1896905703,18969,N20252026F,3,P03,SQ1896900057,EV1896902513,EV1896902527,8,2.0,27.0,14.0,3229.0,3251.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Zone_Entry_Exit,Possession,Possession,Pass,Possession,Possession,Pass,Turnover",False,0,False,0,0,0,2,2,1,0,1,6,"P100001,P100023,P100117,P100161,P100192,P100198"
PL1896912507,PL1896912507,18969,N20252026F,3,P03,SQ1896900125,EV1896902523,EV1896902524,2,2.0,13.0,0.0,3243.0,3243.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Zone_Entry_Exit,Turnover",False,0,False,0,1,0,0,0,1,1,0,1,P100022
PL1896905704,PL1896905704,18969,N20252026F,3,P03,SQ1896900057,EV1896902528,EV1896902528,1,2.0,4.0,0.0,3252.0,3252.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,Turnover,False,0,False,0,0,0,0,0,1,1,0,1,P100192
PL1896905705,PL1896905705,18969,N20252026F,3,P03,SQ1896900057,EV1896902529,EV1896902531,3,2.0,3.0,4.0,3253.0,3258.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Possession,Pass,Zone_Entry_Exit",False,0,False,0,0,1,1,1,0,0,0,3,"P100001,P100093,P100161"
PL1896905706,PL1896905706,18969,N20252026F,3,P03,SQ1896900057,EV1896902532,EV1896902533,2,1.0,58.0,5.0,3258.0,3263.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,n,o,ZN03,ZN01,"Possession,Zone_Entry_Exit",False,0,False,0,1,0,0,0,0,0,0,1,P100161
PL1896905707,PL1896905707,18969,N20252026F,3,P03,SQ1896900057,EV1896902534,EV1896902534,1,1.0,53.0,0.0,3263.0,3263.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,Turnover,False,0,False,0,0,0,0,0,1,0,1,2,"P100210,P100222"
PL1896905708,PL1896905708,18969,N20252026F,3,P03,SQ1896900057,EV1896902535,EV1896902536,2,1.0,53.0,3.0,3263.0,3266.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Possession,Zone_Entry_Exit",False,0,False,0,0,1,0,0,0,0,0,1,P100192
PL1896905709,PL1896905709,18969,N20252026F,3,P03,SQ1896900057,EV1896902537,EV1896902538,2,1.0,50.0,1.0,3266.0,3267.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Possession,Zone_Entry_Exit",False,0,False,0,1,0,0,0,0,0,0,1,P100192
PL1896905710,PL1896905710,18969,N20252026F,3,P03,SQ1896900057,EV1896902539,EV1896902540,2,1.0,46.0,2.0,3270.0,3272.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Possession,Turnover",False,0,False,0,0,0,0,0,1,1,0,1,P100210
PL1896905711,PL1896905711,18969,N20252026F,3,P03,SQ1896900057,EV1896902541,EV1896902545,3,1.0,43.0,5.0,3273.0,3281.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,d,o,ZN02,ZN01,"Possession,Possession,Zone_Entry_Exit",False,0,False,0,1,0,0,0,0,0,0,2,"P100001,P100093"
