shift_quality_key,game_id,player_id,shift_index,shift_duration,shift_quality,quality_score,period,strength,situation
SH1896900097,18969,P100025,97,24.0,short,70,3.0,,
SH1896900098,18969,P100025,98,58.0,good,90,3.0,,
SH1896900001,18969,P100027,1,82.0,long,70,1.0,,
SH1896900011,18969,P100027,11,25.0,short,70,1.0,,
SH1896900012,18969,P100027,12,35.0,optimal,100,1.0,,
SH1896900013,18969,P100027,13,52.0,good,90,1.0,,
SH1896900022,18969,P100027,22,57.0,good,90,1.0,,
SH1896900023,18969,P100027,23,37.0,optimal,100,1.0,,
SH1896900024,18969,P100027,24,61.0,long,70,1.0,,
SH1896900029,18969,P100027,29,59.0,good,90,1.0,,
SH1896900031,18969,P100027,31,49.0,good,90,2.0,,
SH1896900032,18969,P100027,32,19.0,short,70,2.0,,
SH1896900033,18969,P100027,33,17.0,short,70,2.0,,
SH1896900039,18969,P100027,39,99.0,exhausted,40,2.0,,
SH1896900040,18969,P100027,40,20.0,short,70,2.0,,
SH1896900041,18969,P100027,41,4.0,short,70,2.0,,
SH1896900042,18969,P100027,42,29.0,short,70,2.0,,
SH1896900053,18969,P100027,53,124.0,exhausted,40,2.0,,
SH1896900054,18969,P100027,54,16.0,short,70,2.0,,
SH1896900066,18969,P100027,66,48.0,good,90,3.0,,
SH1896900067,18969,P100027,67,52.0,good,90,3.0,,
SH1896900068,18969,P100027,68,16.0,short,70,3.0,,
SH1896900069,18969,P100027,69,17.0,short,70,3.0,,
SH1896900070,18969,P100027,70,11.0,short,70,3.0,,
SH1896900076,18969,P100027,76,32.0,optimal,100,3.0,,
SH1896900077,18969,P100027,77,61.0,long,70,3.0,,
SH1896900078,18969,P100027,78,42.0,optimal,100,3.0,,
SH1896900086,18969,P100027,86,45.0,good,90,3.0,,
SH1896900087,18969,P100027,87,24.0,short,70,3.0,,
SH1896900095,18969,P100027,95,10.0,short,70,3.0,,
SH1896900097,18969,P100027,97,24.0,short,70,3.0,,
SH1896900098,18969,P100027,98,58.0,good,90,3.0,,
SH1896900001,18969,P100030,1,82.0,long,70,1.0,,
SH1896900007,18969,P100030,7,102.0,exhausted,40,1.0,,
SH1896900008,18969,P100030,8,7.0,short,70,1.0,,
SH1896900015,18969,P100030,15,9.0,short,70,1.0,,
SH1896900016,18969,P100030,16,23.0,short,70,1.0,,
SH1896900017,18969,P100030,17,6.0,short,70,1.0,,
SH1896900018,18969,P100030,18,7.0,short,70,1.0,,
SH1896900019,18969,P100030,19,14.0,short,70,1.0,,
SH1896900020,18969,P100030,20,18.0,short,70,1.0,,
SH1896900021,18969,P100030,21,56.0,good,90,1.0,,
SH1896900022,18969,P100030,22,57.0,good,90,1.0,,
SH1896900023,18969,P100030,23,37.0,optimal,100,1.0,,
SH1896900027,18969,P100030,27,65.0,long,70,1.0,,
SH1896900028,18969,P100030,28,78.0,long,70,1.0,,
SH1896900029,18969,P100030,29,59.0,good,90,1.0,,
SH1896900035,18969,P100030,35,19.0,short,70,2.0,,
SH1896900036,18969,P100030,36,33.0,optimal,100,2.0,,
SH1896900037,18969,P100030,37,95.0,exhausted,40,2.0,,
SH1896900038,18969,P100030,38,11.0,short,70,2.0,,
SH1896900039,18969,P100030,39,99.0,exhausted,40,2.0,,
SH1896900048,18969,P100030,48,7.0,short,70,2.0,,
SH1896900049,18969,P100030,49,3.0,short,70,2.0,,
SH1896900050,18969,P100030,50,18.0,short,70,2.0,,
SH1896900051,18969,P100030,51,39.0,optimal,100,2.0,,
SH1896900052,18969,P100030,52,8.0,short,70,2.0,,
SH1896900053,18969,P100030,53,124.0,exhausted,40,2.0,,
SH1896900059,18969,P100030,59,32.0,optimal,100,2.0,,
SH1896900060,18969,P100030,60,52.0,good,90,2.0,,
SH1896900061,18969,P100030,61,11.0,short,70,2.0,,
SH1896900062,18969,P100030,62,4.0,short,70,2.0,,
SH1896900067,18969,P100030,67,52.0,good,90,3.0,,
SH1896900068,18969,P100030,68,16.0,short,70,3.0,,
SH1896900069,18969,P100030,69,17.0,short,70,3.0,,
SH1896900070,18969,P100030,70,11.0,short,70,3.0,,
SH1896900071,18969,P100030,71,7.0,short,70,3.0,,
SH1896900072,18969,P100030,72,63.0,long,70,3.0,,
SH1896900077,18969,P100030,77,61.0,long,70,3.0,,
SH1896900078,18969,P100030,78,42.0,optimal,100,3.0,,
SH1896900079,18969,P100030,79,9.0,short,70,3.0,,
SH1896900080,18969,P100030,80,11.0,short,70,3.0,,
SH1896900085,18969,P100030,85,16.0,short,70,3.0,,
SH1896900086,18969,P100030,86,45.0,good,90,3.0,,
SH1896900087,18969,P100030,87,24.0,short,70,3.0,,
SH1896900092,18969,P100030,92,15.0,short,70,3.0,,
SH1896900093,18969,P100030,93,9.0,short,70,3.0,,
SH1896900094,18969,P100030,94,15.0,short,70,3.0,,
SH1896900095,18969,P100030,95,10.0,short,70,3.0,,
SH1896900097,18969,P100030,97,24.0,short,70,3.0,,
SH1896900098,18969,P100030,98,58.0,good,90,3.0,,
SH1896900001,18969,P100039,1,82.0,long,70,1.0,,
SH1896900012,18969,P100039,12,35.0,optimal,100,1.0,,
SH1896900013,18969,P100039,13,52.0,good,90,1.0,,
SH1896900014,18969,P100039,14,49.0,good,90,1.0,,
SH1896900015,18969,P100039,15,9.0,short,70,1.0,,
SH1896900025,18969,P100039,25,79.0,long,70,1.0,,
SH1896900026,18969,P100039,26,5.0,short,70,1.0,,
SH1896900027,18969,P100039,27,65.0,long,70,1.0,,
SH1896900034,18969,P100039,34,67.0,long,70,2.0,,
SH1896900035,18969,P100039,35,19.0,short,70,2.0,,
SH1896900036,18969,P100039,36,33.0,optimal,100,2.0,,
SH1896900042,18969,P100039,42,29.0,short,70,2.0,,
SH1896900043,18969,P100039,43,38.0,optimal,100,2.0,,
