game_id,season_id,entry_event_index,shot_event_index,events_to_shot,is_rush,rush_type,is_goal,entry_type,zone_entry_type_id,rush_type_id,home_team_id,away_team_id
18981,N20252026F,2252,2255,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,2263,2265,2,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18987,N20252026F,1012,1013,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1041,1042,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1059,1064,5,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1089,1094,5,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1103,1104,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1210,1214,4,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1237,1238,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1254,1257,3,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1316,1317,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1334,1339,5,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1451,1453,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1546,1548,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1565,1566,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1590,1591,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1597,1599,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1651,1652,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1667,1668,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1710,1711,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1729,1731,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1767,1768,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1783,1787,4,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1815,1820,5,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1848,1853,5,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1884,1885,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1889,1894,5,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1891,1894,3,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1916,1917,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1921,1924,3,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1937,1939,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1958,1960,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1977,1978,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1983,1987,4,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,1994,1995,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2015,2016,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2030,2032,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2039,2040,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2073,2077,4,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2105,2109,4,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2119,2121,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2163,2166,3,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2178,2179,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2185,2187,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2195,2196,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2213,2215,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2223,2225,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2272,2274,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2365,2368,3,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2387,2390,3,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2404,2406,2,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2452,2456,4,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2482,2483,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2543,2544,1,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2550,2554,4,True,rush,False,,,ZE0010,N10007,N10010
18987,N20252026F,2573,2575,2,True,rush,False,,,ZE0010,N10007,N10010
