event_index,event_key,shift_index,shift_key,linked_event_index,sequence_index,play_index,event_type,event_detail,event_detail_2,event_successful,period,event_start_min,event_start_sec,time_total_seconds,duration,event_team_zone,game_id,_processed_timestamp
1055.0,18969_1055.0,2.0,18969_2.0,,,,Pass,Pass_Completed,Pass-Backhand,s,1.0,15.0,50.0,950.0,0.0,n,18969,2025-12-19 20:06:37
1056.0,18969_1056.0,2.0,18969_2.0,,,,Possession,,,,1.0,15.0,50.0,950.0,1.0,n,18969,2025-12-19 20:06:37
1057.0,18969_1057.0,2.0,18969_2.0,,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,15.0,49.0,949.0,0.0,n,18969,2025-12-19 20:06:37
1058.0,18969_1058.0,2.0,18969_2.0,,,,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,u,1.0,15.0,48.0,948.0,5.0,o,18969,2025-12-19 20:06:37
1059.0,18969_1059.0,2.0,18969_2.0,,,,Turnover,Turnover_Giveaway,Giveaway-Misplayed,u,1.0,15.0,43.0,943.0,0.0,o,18969,2025-12-19 20:06:37
1060.0,18969_1060.0,2.0,18969_2.0,,,,Possession,PuckRetrieval,,s,1.0,15.0,43.0,943.0,1.0,d,18969,2025-12-19 20:06:37
1061.0,18969_1061.0,2.0,18969_2.0,,,,Pass,Pass_Completed,Pass-Backhand,s,1.0,15.0,42.0,942.0,0.0,d,18969,2025-12-19 20:06:37
1062.0,18969_1062.0,2.0,18969_2.0,,,,Possession,,,,1.0,15.0,41.0,941.0,2.0,d,18969,2025-12-19 20:06:37
1063.0,18969_1063.0,2.0,18969_2.0,9009.0,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,15.0,39.0,939.0,0.0,d,18969,2025-12-19 20:06:37
1064.0,18969_1064.0,2.0,18969_2.0,9009.0,,,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,s,1.0,15.0,39.0,939.0,0.0,d,18969,2025-12-19 20:06:37
1065.0,18969_1065.0,2.0,18969_2.0,,,,Possession,,,,1.0,15.0,39.0,939.0,2.0,n,18969,2025-12-19 20:06:37
1066.0,18969_1066.0,2.0,18969_2.0,9010.0,,,Zone_Entry_Exit,Zone_Entry,ZoneEntry-DumpIn,u,1.0,15.0,37.0,937.0,0.0,n,18969,2025-12-19 20:06:37
1067.0,18969_1067.0,2.0,18969_2.0,9010.0,,,Turnover,Turnover_Giveaway,Giveaway-ZoneClear/Dump,,1.0,15.0,37.0,937.0,0.0,n,18969,2025-12-19 20:06:37
1068.0,18969_1068.0,2.0,18969_2.0,,,,Possession,,,,1.0,15.0,34.0,934.0,2.0,d,18969,2025-12-19 20:06:37
1069.0,18969_1069.0,2.0,18969_2.0,9011.0,,,Pass,Pass_Missed,Pass-ReceiverMissed,u,1.0,15.0,32.0,932.0,0.0,d,18969,2025-12-19 20:06:37
1070.0,18969_1070.0,2.0,18969_2.0,9011.0,,,Zone_Entry_Exit,Zone_Exit,ZoneExit-PassMiss/Misplay,u,1.0,15.0,32.0,932.0,0.0,d,18969,2025-12-19 20:06:37
1071.0,18969_1071.0,2.0,18969_2.0,9011.0,,,Turnover,Turnover_Giveaway,Giveaway-PassMissed,u,1.0,15.0,32.0,932.0,0.0,d,18969,2025-12-19 20:06:37
1072.0,18969_1072.0,2.0,18969_2.0,,,,Possession,PuckRetrieval,,s,1.0,15.0,27.0,927.0,0.0,n,18969,2025-12-19 20:06:37
1073.0,18969_1073.0,2.0,18969_2.0,,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,15.0,27.0,927.0,0.0,n,18969,2025-12-19 20:06:37
1074.0,18969_1074.0,2.0,18969_2.0,,,,Possession,,,,1.0,15.0,27.0,927.0,4.0,n,18969,2025-12-19 20:06:37
1075.0,18969_1075.0,2.0,18969_2.0,9012.0,,,Zone_Entry_Exit,Zone_Entry,ZoneEntry-DumpIn,u,1.0,15.0,23.0,923.0,0.0,o,18969,2025-12-19 20:06:37
1076.0,18969_1076.0,2.0,18969_2.0,9012.0,,,Turnover,Turnover_Giveaway,Giveaway-ZoneClear/Dump,u,1.0,15.0,23.0,923.0,0.0,o,18969,2025-12-19 20:06:37
1077.0,18969_1077.0,3.0,18969_3.0,,,,Possession,PuckRetrieval,,u,1.0,15.0,19.0,919.0,1.0,d,18969,2025-12-19 20:06:37
1078.0,18969_1078.0,3.0,18969_3.0,,,,Pass,Pass_Deflected,Pass-Forehand,u,1.0,15.0,18.0,918.0,0.0,d,18969,2025-12-19 20:06:37
1079.0,18969_1079.0,3.0,18969_3.0,,,,Possession,PuckRecovery,,u,1.0,15.0,14.0,914.0,2.0,d,18969,2025-12-19 20:06:37
1080.0,18969_1080.0,3.0,18969_3.0,,,,Turnover,Turnover_Giveaway,Giveaway-AttemptedZoneClear/Dump,u,1.0,15.0,12.0,912.0,0.0,d,18969,2025-12-19 20:06:37
1081.0,18969_1081.0,4.0,18969_4.0,,,,Possession,PuckRetrieval,,s,1.0,15.0,8.0,908.0,2.0,o,18969,2025-12-19 20:06:37
1082.0,18969_1082.0,4.0,18969_4.0,,,,Possession,,,,1.0,15.0,6.0,906.0,2.0,o,18969,2025-12-19 20:06:37
1083.0,18969_1083.0,4.0,18969_4.0,9013.0,,,Pass,Pass_Deflected,Pass-Forehand,u,1.0,15.0,4.0,904.0,0.0,o,18969,2025-12-19 20:06:37
1084.0,18969_1084.0,4.0,18969_4.0,9013.0,,,Turnover,Turnover_Giveaway,Giveaway-PassBlocked,u,1.0,15.0,4.0,904.0,0.0,o,18969,2025-12-19 20:06:37
1085.0,18969_1085.0,4.0,18969_4.0,,,,Possession,PuckRetrieval,,u,1.0,15.0,2.0,902.0,3.0,d,18969,2025-12-19 20:06:37
1086.0,18969_1086.0,4.0,18969_4.0,,,,Turnover,Turnover_Giveaway,Giveaway-AttemptedZoneClear/Dump,u,1.0,14.0,59.0,899.0,0.0,d,18969,2025-12-19 20:06:37
1087.0,18969_1087.0,4.0,18969_4.0,9014.0,,,Possession,PuckRetrieval,,u,1.0,14.0,57.0,897.0,3.0,o,18969,2025-12-19 20:06:37
1088.0,18969_1088.0,4.0,18969_4.0,9014.0,,,Zone_Entry_Exit,Zone_Keepin,Zone-KeepIn,s,1.0,14.0,57.0,897.0,3.0,o,18969,2025-12-19 20:06:37
