game_id,home_team,away_team,home_team_id,away_team_id,game_date,season_id,game_type,playoff_round,home_score,away_score,winner,_processed_timestamp
17935,Ace,Amos,N10002,N10001,2024-09-01T00:00:00,N20242025F,Regular,,3,7,Amos,2025-12-19 20:06:37
17934,Orphans,Nelson,N10006,N10004,2024-09-01T00:00:00,N20242025F,Regular,,5,7,Nelson,2025-12-19 20:06:37
17933,Outlaws,HollowBrook,N10007,N10003,2024-09-01T00:00:00,N20242025F,Regular,,1,7,HollowBrook,2025-12-19 20:06:37
17931,Ace,Platinum,N10002,N10008,2024-08-25T00:00:00,N20242025F,Regular,,5,12,Platinum,2025-12-19 20:06:37
17930,Orphans,OS Offices,N10006,N10005,2024-08-25T00:00:00,N20242025F,Regular,,1,6,OS Offices,2025-12-19 20:06:37
17929,Outlaws,Amos,N10007,N10001,2024-08-25T00:00:00,N20242025F,Regular,,1,6,Amos,2025-12-19 20:06:37
17928,HollowBrook,Nelson,N10003,N10004,2024-08-25T00:00:00,N20242025F,Regular,,6,4,HollowBrook,2025-12-19 20:06:37
17926,Orphans,Triple J,N10006,N10009,2024-08-18T00:00:00,N20242025F,Regular,,1,6,Triple J,2025-12-19 20:06:37
17925,Outlaws,Platinum,N10007,N10008,2024-08-18T00:00:00,N20242025F,Regular,,2,6,Platinum,2025-12-19 20:06:37
17924,HollowBrook,OS Offices,N10003,N10005,2024-08-18T00:00:00,N20242025F,Regular,,6,2,HollowBrook,2025-12-19 20:06:37
17923,Nelson,Amos,N10004,N10001,2024-08-18T00:00:00,N20242025F,Regular,,0,6,Amos,2025-12-19 20:06:37
17921,Outlaws,Ace,N10007,N10002,2024-08-11T00:00:00,N20242025F,Regular,,4,5,Ace,2025-12-19 20:06:37
17920,HollowBrook,Triple J,N10003,N10009,2024-08-11T00:00:00,N20242025F,Regular,,2,2,TIE,2025-12-19 20:06:37
17919,Nelson,Platinum,N10004,N10008,2024-08-11T00:00:00,N20242025F,Regular,,3,8,Platinum,2025-12-19 20:06:37
17918,Amos,OS Offices,N10001,N10005,2024-08-11T00:00:00,N20242025F,Regular,,4,5,OS Offices,2025-12-19 20:06:37
10019,HollowBrook,Amos,N10003,N10001,2024-05-12T00:00:00,N20232024F,Playoffs,Championship,3,0,HollowBrook,2025-12-19 20:06:37
10018,OS Offices,Amos,N10005,N10001,2024-05-11T00:00:00,N20232024F,Playoffs,SemiFinals,3,4,Amos,2025-12-19 20:06:37
10036,HollowBrook,OS Offices,N10003,N10005,2024-05-09T00:00:00,N20232024F,Playoffs,SemiFinals,2,1,HollowBrook,2025-12-19 20:06:37
10017,Amos,Nelson,N10001,N10004,2024-05-08T00:00:00,N20232024F,Playoffs,RoundRobin,7,4,Amos,2025-12-19 20:06:37
10016,Platinum,Amos,N10008,N10001,2024-05-05T00:00:00,N20232024F,Playoffs,RoundRobin,2,6,Amos,2025-12-19 20:06:37
10046,Nelson,Triple J,N10004,N10009,2024-05-05T00:00:00,N20232024F,Playoffs,RoundRobin,4,1,Nelson,2025-12-19 20:06:37
10052,OS Offices,Platinum,N10005,N10008,2024-05-02T00:00:00,N20232024F,Playoffs,RoundRobin,5,4,OS Offices,2025-12-19 20:06:37
10035,Nelson,HollowBrook,N10004,N10003,2024-05-02T00:00:00,N20232024F,Playoffs,RoundRobin,2,6,HollowBrook,2025-12-19 20:06:37
10015,Orphans,Amos,N10006,N10001,2024-04-30T00:00:00,N20232024F,Playoffs,RoundRobin,4,5,Amos,2025-12-19 20:06:37
10003,Triple J,Ace,N10009,N10002,2024-04-30T00:00:00,N20232024F,Playoffs,RoundRobin,6,4,Triple J,2025-12-19 20:06:37
10014,Amos,HollowBrook,N10001,N10003,2024-04-28T00:00:00,N20232024F,Playoffs,RoundRobin,2,4,HollowBrook,2025-12-19 20:06:37
10045,Orphans,Nelson,N10006,N10004,2024-04-28T00:00:00,N20232024F,Playoffs,RoundRobin,3,5,Nelson,2025-12-19 20:06:37
10051,OS Offices,Triple J,N10005,N10009,2024-04-28T00:00:00,N20232024F,Playoffs,RoundRobin,6,2,OS Offices,2025-12-19 20:06:37
