scoring_chance_key,game_id,event_id,period,season_id,is_goal,event_detail,event_detail_2,danger_level,is_rush,is_rebound,is_odd_man,shot_type,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC_EV1896901723,18969,EV1896901723,2,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,0.0,402.0,30.0,298.0,445.0,30.0,7.0,866.99,,,,,,798.99,,,,,,866.99,866.99,866.99,798.99,798.99,798.99
SC_EV1896902272,18969,EV1896902272,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,36.0,408.0,439.0,292.0,36.0,1.0,477.99,,,,,,1830.98,,,,,,477.99,477.99,477.99,1830.98,1830.98,1830.98
SC_EV1896901218,18969,EV1896901218,1,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,424.0,52.0,276.0,423.0,15.0,27.0,902.99,,,,,,798.99,1912.97,,,,,902.99,902.99,902.99,1355.98,798.99,1912.97
SC_EV1896901740,18969,EV1896901740,2,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,2.0,3.0,59.0,431.0,416.0,269.0,7.0,20.0,933.97,,,,,,614.0,,,,,,933.97,933.97,933.97,614.0,614.0,614.0
SC_EV1896901743,18969,EV1896901743,2,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,66.0,438.0,409.0,262.0,14.0,13.0,502.0,,,,,,614.0,,,,,,502.0,502.0,502.0,614.0,614.0,614.0
SC_EV1896901748,18969,EV1896901748,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,0.0,74.0,446.0,401.0,254.0,22.0,5.0,933.97,,,,,,1801.98,614.0,,,,,933.97,933.97,933.97,1207.99,614.0,1801.98
SC_EV1896901226,18969,EV1896901226,1,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,449.0,77.0,251.0,398.0,25.0,2.0,918.98,,,,,,686.99,1883.97,,,,,918.98,918.98,918.98,1285.48,686.99,1883.97
SC_EV1896901754,18969,EV1896901754,2,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,3.0,1.0,83.0,455.0,392.0,245.0,4.0,9.0,902.99,,,,,,783.0,,,,,,902.99,902.99,902.99,783.0,783.0,783.0
SC_EV1896901758,18969,EV1896901758,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,2.0,0.0,90.0,462.0,385.0,238.0,11.0,2.0,686.99,,,,,,1801.98,614.0,,,,,686.99,686.99,686.99,1207.99,614.0,1801.98
SC_EV1896902299,18969,EV1896902299,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,2.0,0.0,117.0,489.0,358.0,211.0,25.0,14.0,953.98,,,,,,1575.98,,,,,,953.98,953.98,953.98,1575.98,1575.98,1575.98
SC_EV1896902307,18969,EV1896902307,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,128.0,500.0,347.0,200.0,36.0,3.0,556.98,,,,,,1575.98,,,,,,556.98,556.98,556.98,1575.98,1575.98,1575.98
SC_EV1896901284,18969,EV1896901284,1,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,165.0,537.0,310.0,163.0,34.0,12.0,653.0,,,,,,504.0,,,,,,653.0,653.0,653.0,504.0,504.0,504.0
SC_EV1896901286,18969,EV1896901286,1,N20252026F,False,Shot_OnNetSaved,Shot_Backhand,perimeter,False,False,False,Shot_Backhand,1.0,0.0,168.0,540.0,307.0,160.0,37.0,9.0,736.99,,,,,,1416.98,510.0,,,,,736.99,736.99,736.99,963.49,510.0,1416.98
SC_EV1896901824,18969,EV1896901824,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,552.0,180.0,148.0,295.0,3.0,51.0,499.98,,,,,,1462.97,,,,,,499.98,499.98,499.98,1462.97,1462.97,1462.97
SC_EV1896902335,18969,EV1896902335,3,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,552.0,180.0,148.0,295.0,3.0,51.0,536.0,,,,,,,,,,,,536.0,536.0,536.0,,,
SC_EV1896902342,18969,EV1896902342,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,3.0,0.0,194.0,566.0,281.0,134.0,17.0,37.0,383.99,,,,,,1380.98,,,,,,383.99,383.99,383.99,1380.98,1380.98,1380.98
SC_EV1896901296,18969,EV1896901296,1,N20252026F,False,Shot_Missed,Shot_Backhand,perimeter,False,False,False,Shot_Backhand,1.0,2.0,208.0,580.0,267.0,120.0,31.0,23.0,617.0,,,,,,486.0,,,,,,617.0,617.0,617.0,486.0,486.0,486.0
SC_EV1896901302,18969,EV1896901302,1,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,220.0,592.0,255.0,108.0,43.0,11.0,742.98,,,,,,402.98,363.98,,,,,742.98,742.98,742.98,383.48,363.98,402.98
SC_EV1896901306,18969,EV1896901306,1,N20252026F,False,Shot_BlockedSameTeam,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,2.0,228.0,600.0,247.0,100.0,51.0,3.0,734.98,431.0,,,,,,,,,,,582.99,431.0,734.98,,,
SC_EV1896901857,18969,EV1896901857,2,N20252026F,False,Shot_OnNetSaved,Shot_Backhand,perimeter,False,False,False,Shot_Backhand,0.0,1.0,602.0,230.0,98.0,245.0,53.0,1.0,360.98,,,,,,1323.97,,,,,,360.98,360.98,360.98,1323.97,1323.97,1323.97
SC_EV1896902379,18969,EV1896902379,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,2.0,620.0,248.0,80.0,227.0,16.0,27.0,390.98,,,,,,801.97,1323.97,,,,,390.98,390.98,390.98,1062.97,801.97,1323.97
SC_EV1896902387,18969,EV1896902387,3,N20252026F,False,Shot_Blocked,Shot_OneTime,perimeter,False,False,False,Shot_OneTime,0.0,0.0,628.0,256.0,72.0,219.0,24.0,19.0,390.98,,,,,,628.99,,,,,,390.98,390.98,390.98,628.99,628.99,628.99
SC_EV1896901312,18969,EV1896901312,1,N20252026F,False,Shot_Deflected,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,263.0,635.0,212.0,65.0,31.0,12.0,752.98,,,,,,799.97,,,,,,752.98,752.98,752.98,799.97,799.97,799.97
SC_EV1896902399,18969,EV1896902399,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,274.0,646.0,201.0,54.0,42.0,1.0,352.0,,,,,,1038.98,,,,,,352.0,352.0,352.0,1038.98,1038.98,1038.98
SC_EV1896901872,18969,EV1896901872,2,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,3.0,280.0,652.0,195.0,48.0,5.0,39.0,537.98,,,,,,436.0,430.0,,,,,537.98,537.98,537.98,433.0,430.0,436.0
SC_EV1896901336,18969,EV1896901336,1,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,2.0,302.0,674.0,173.0,26.0,27.0,17.0,333.98,,,,,,511.98,,,,,,333.98,333.98,333.98,511.98,511.98,511.98
SC_EV1896901344,18969,EV1896901344,1,N20252026F,False,Shot_OnNetSaved,Shot_Backhand,perimeter,False,False,False,Shot_Backhand,1.0,0.0,314.0,686.0,161.0,14.0,39.0,5.0,582.97,,,,,,1022.98,352.98,,,,,582.97,582.97,582.97,687.98,352.98,1022.98
SC_EV1896902410,18969,EV1896902410,3,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,0.0,316.0,688.0,159.0,12.0,41.0,3.0,537.98,,,,,,,,,,,,537.98,537.98,537.98,,,
SC_EV1896901888,18969,EV1896901888,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,691.0,319.0,9.0,156.0,44.0,9.0,255.0,,,,,,537.98,1104.97,,,,,255.0,255.0,255.0,821.475,537.98,1104.97
SC_EV1896902414,18969,EV1896902414,3,N20252026F,False,Shot_OnNetSaved,Shot_Tip,high,False,False,False,Shot_Tip,0.0,2.0,320.0,692.0,155.0,8.0,1.0,8.0,333.98,,,,,,1022.98,,,,,,333.98,333.98,333.98,1022.98,1022.98,1022.98
SC_EV1896901354,18969,EV1896901354,1,N20252026F,False,Shot_Goal,,perimeter,False,False,False,,1.0,0.0,700.0,328.0,145.0,147.0,9.0,19.0,210.0,,,,,,1059.97,,,,,,210.0,210.0,210.0,1059.97,1059.97,1059.97
SC_EV1896901355,18969,EV1896901355,1,N20252026F,True,Goal_Scored,Goal_Wrist,perimeter,False,False,False,Goal_Wrist,0.0,0.0,700.0,328.0,145.0,147.0,9.0,19.0,210.0,,,,,,1059.97,,,,,,210.0,210.0,210.0,1059.97,1059.97,1059.97
SC_EV1896902426,18969,EV1896902426,3,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,3.0,3.0,339.0,11.0,136.0,134.0,11.0,8.0,477.0,,,,,,429.0,,,,,,477.0,477.0,477.0,429.0,429.0,429.0
SC_EV1896901366,18969,EV1896901366,1,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,366.0,38.0,109.0,107.0,19.0,21.0,590.99,,,,,,916.98,,,,,,590.99,590.99,590.99,916.98,916.98,916.98
SC_EV1896901370,18969,EV1896901370,1,N20252026F,False,Shot_Deflected,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,370.0,42.0,105.0,103.0,23.0,17.0,431.99,,,,,,621.98,,,,,,431.99,431.99,431.99,621.98,621.98,621.98
