shift_player_key,shift_key,game_id,shift_index,player_number,player_id,player_name,venue,slot,period,shift_duration,playing_duration,situation,strength,stoppage_time,pm_plus_ev,pm_minus_ev,goal_for,goal_against,team_en,opp_en,logical_shift_number,period_id,venue_id,strength_id,situation_id,slot_id,team_id
L18969000817,S18969000008,18969,8,39,P100016,Wyatt Crandall,away,goalie,1.0,7.0,7.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969000917,S18969000009,18969,9,39,P100016,Wyatt Crandall,away,goalie,1.0,16.0,16.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001017,S18969000010,18969,10,39,P100016,Wyatt Crandall,away,goalie,1.0,9.0,9.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001117,S18969000011,18969,11,39,P100016,Wyatt Crandall,away,goalie,1.0,25.0,25.0,Full Strength,5v5,0.0,0.0,-1.0,0,1,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001217,S18969000012,18969,12,39,P100016,Wyatt Crandall,away,goalie,1.0,35.0,12.0,Full Strength,5v5,23.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001317,S18969000013,18969,13,39,P100016,Wyatt Crandall,away,goalie,1.0,52.0,52.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001417,S18969000014,18969,14,39,P100016,Wyatt Crandall,away,goalie,1.0,49.0,37.0,Full Strength,5v5,12.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001517,S18969000015,18969,15,39,P100016,Wyatt Crandall,away,goalie,1.0,9.0,9.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001617,S18969000016,18969,16,39,P100016,Wyatt Crandall,away,goalie,1.0,23.0,23.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001717,S18969000017,18969,17,39,P100016,Wyatt Crandall,away,goalie,1.0,6.0,6.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001817,S18969000018,18969,18,39,P100016,Wyatt Crandall,away,goalie,1.0,7.0,7.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969001917,S18969000019,18969,19,39,P100016,Wyatt Crandall,away,goalie,1.0,14.0,14.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002017,S18969000020,18969,20,39,P100016,Wyatt Crandall,away,goalie,1.0,18.0,18.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002117,S18969000021,18969,21,39,P100016,Wyatt Crandall,away,goalie,1.0,56.0,56.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002217,S18969000022,18969,22,39,P100016,Wyatt Crandall,away,goalie,1.0,57.0,57.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002317,S18969000023,18969,23,39,P100016,Wyatt Crandall,away,goalie,1.0,37.0,37.0,Full Strength,5v5,0.0,1.0,0.0,1,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002417,S18969000024,18969,24,39,P100016,Wyatt Crandall,away,goalie,1.0,61.0,61.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002517,S18969000025,18969,25,39,P100016,Wyatt Crandall,away,goalie,1.0,79.0,67.0,Full Strength,5v5,12.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002617,S18969000026,18969,26,39,P100016,Wyatt Crandall,away,goalie,1.0,5.0,5.0,Full Strength,5v5,0.0,1.0,0.0,1,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002717,S18969000027,18969,27,39,P100016,Wyatt Crandall,away,goalie,1.0,65.0,45.0,Full Strength,5v5,20.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002817,S18969000028,18969,28,39,P100016,Wyatt Crandall,away,goalie,1.0,78.0,58.0,Full Strength,5v5,20.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969002917,S18969000029,18969,29,39,P100016,Wyatt Crandall,away,goalie,1.0,59.0,59.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003117,S18969000031,18969,31,39,P100016,Wyatt Crandall,away,goalie,2.0,49.0,49.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003217,S18969000032,18969,32,39,P100016,Wyatt Crandall,away,goalie,2.0,19.0,19.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003317,S18969000033,18969,33,39,P100016,Wyatt Crandall,away,goalie,2.0,17.0,17.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003417,S18969000034,18969,34,39,P100016,Wyatt Crandall,away,goalie,2.0,67.0,47.0,Full Strength,5v5,20.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003517,S18969000035,18969,35,39,P100016,Wyatt Crandall,away,goalie,2.0,19.0,19.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003617,S18969000036,18969,36,39,P100016,Wyatt Crandall,away,goalie,2.0,33.0,33.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003717,S18969000037,18969,37,39,P100016,Wyatt Crandall,away,goalie,2.0,95.0,79.0,Full Strength,5v5,16.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003817,S18969000038,18969,38,39,P100016,Wyatt Crandall,away,goalie,2.0,11.0,11.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
L18969003917,S18969000039,18969,39,39,P100016,Wyatt Crandall,away,goalie,2.0,99.0,75.0,Full Strength,5v5,24.0,0.0,0.0,0,0,0.0,0.0,2,P0002,VN0002,STR0001,SIT0003,SL0006,N10010
