shift_quality_key,game_id,player_id,shift_index,shift_duration,period,quality_score,shift_quality,strength
SQ_18969_P100023_84,18969,P100023,84,22.0,3,0.45,average,5v5
SQ_18969_P100023_85,18969,P100023,85,16.0,3,0.45,average,5v5
SQ_18969_P100023_88,18969,P100023,88,58.0,3,0.75,good,5v5
SQ_18969_P100023_89,18969,P100023,89,27.0,3,0.45,average,5v5
SQ_18969_P100023_90,18969,P100023,90,42.0,3,0.75,good,5v5
SQ_18969_P100023_91,18969,P100023,91,69.0,3,0.6,good,5v5
SQ_18969_P100023_92,18969,P100023,92,15.0,3,0.45,average,5v5
SQ_18969_P100023_93,18969,P100023,93,9.0,3,0.45,average,5v5
SQ_18969_P100024_1,18969,P100024,1,82.0,1,0.45,average,5v5
SQ_18969_P100024_9,18969,P100024,9,16.0,1,0.45,average,5v5
SQ_18969_P100024_10,18969,P100024,10,9.0,1,0.45,average,5v5
SQ_18969_P100024_11,18969,P100024,11,25.0,1,0.45,average,5v5
SQ_18969_P100024_12,18969,P100024,12,35.0,1,0.6,good,5v5
SQ_18969_P100024_13,18969,P100024,13,52.0,1,0.75,good,5v5
SQ_18969_P100024_23,18969,P100024,23,37.0,1,0.6,good,5v5
SQ_18969_P100024_24,18969,P100024,24,61.0,1,0.6,good,5v5
SQ_18969_P100024_29,18969,P100024,29,58.99,1,0.75,good,5v5
SQ_18969_P100024_31,18969,P100024,31,49.0,2,0.75,good,5v5
SQ_18969_P100024_32,18969,P100024,32,19.0,2,0.45,average,5v5
SQ_18969_P100024_39,18969,P100024,39,99.0,2,0.45,average,5v5
SQ_18969_P100024_40,18969,P100024,40,20.0,2,0.45,average,5v5
SQ_18969_P100024_53,18969,P100024,53,124.0,2,0.45,average,5v5
SQ_18969_P100024_54,18969,P100024,54,16.0,2,0.45,average,5v5
SQ_18969_P100024_55,18969,P100024,55,14.0,2,0.45,average,5v5
SQ_18969_P100024_65,18969,P100024,65,35.0,3,0.6,good,4v5
SQ_18969_P100024_66,18969,P100024,66,48.0,3,0.75,good,5v5
SQ_18969_P100024_67,18969,P100024,67,52.0,3,0.75,good,5v5
SQ_18969_P100024_68,18969,P100024,68,16.0,3,0.45,average,5v5
SQ_18969_P100024_69,18969,P100024,69,17.0,3,0.45,average,5v5
SQ_18969_P100024_76,18969,P100024,76,32.0,3,0.6,good,5v5
SQ_18969_P100024_77,18969,P100024,77,61.0,3,0.6,good,5v5
SQ_18969_P100024_87,18969,P100024,87,24.0,3,0.45,average,5v5
SQ_18969_P100024_88,18969,P100024,88,58.0,3,0.75,good,5v5
SQ_18969_P100024_97,18969,P100024,97,24.0,3,0.45,average,5v6
SQ_18969_P100025_1,18969,P100025,1,82.0,1,0.45,average,5v5
SQ_18969_P100025_19,18969,P100025,19,14.0,1,0.45,average,5v5
SQ_18969_P100025_20,18969,P100025,20,18.0,1,0.45,average,5v5
SQ_18969_P100025_21,18969,P100025,21,56.0,1,0.75,good,5v5
SQ_18969_P100025_22,18969,P100025,22,57.0,1,0.75,good,5v5
SQ_18969_P100025_23,18969,P100025,23,37.0,1,0.6,good,5v5
SQ_18969_P100025_27,18969,P100025,27,65.0,1,0.6,good,5v5
SQ_18969_P100025_28,18969,P100025,28,78.0,1,0.6,good,5v5
SQ_18969_P100025_29,18969,P100025,29,58.99,1,0.75,good,5v5
SQ_18969_P100025_35,18969,P100025,35,19.0,2,0.45,average,5v5
SQ_18969_P100025_36,18969,P100025,36,33.0,2,0.6,good,5v5
SQ_18969_P100025_37,18969,P100025,37,95.0,2,0.45,average,5v5
SQ_18969_P100025_38,18969,P100025,38,11.0,2,0.45,average,5v5
SQ_18969_P100025_39,18969,P100025,39,99.0,2,0.45,average,5v5
SQ_18969_P100025_50,18969,P100025,50,18.0,2,0.45,average,5v5
SQ_18969_P100025_51,18969,P100025,51,39.0,2,0.6,good,5v5
SQ_18969_P100025_52,18969,P100025,52,8.0,2,0.45,average,5v5
SQ_18969_P100025_53,18969,P100025,53,124.0,2,0.45,average,5v5
SQ_18969_P100025_59,18969,P100025,59,32.0,2,0.6,good,5v5
SQ_18969_P100025_60,18969,P100025,60,52.0,2,0.75,good,5v5
SQ_18969_P100025_61,18969,P100025,61,11.0,2,0.45,average,5v5
SQ_18969_P100025_62,18969,P100025,62,4.0,2,0.45,average,5v5
SQ_18969_P100025_67,18969,P100025,67,52.0,3,0.75,good,5v5
SQ_18969_P100025_68,18969,P100025,68,16.0,3,0.45,average,5v5
SQ_18969_P100025_69,18969,P100025,69,17.0,3,0.45,average,5v5
SQ_18969_P100025_70,18969,P100025,70,11.0,3,0.45,average,5v5
SQ_18969_P100025_71,18969,P100025,71,7.0,3,0.45,average,5v5
SQ_18969_P100025_72,18969,P100025,72,63.0,3,0.6,good,5v5
SQ_18969_P100025_76,18969,P100025,76,32.0,3,0.6,good,5v5
SQ_18969_P100025_77,18969,P100025,77,61.0,3,0.6,good,5v5
SQ_18969_P100025_78,18969,P100025,78,42.0,3,0.75,good,5v5
SQ_18969_P100025_79,18969,P100025,79,9.0,3,0.45,average,5v5
SQ_18969_P100025_80,18969,P100025,80,11.0,3,0.45,average,5v5
SQ_18969_P100025_86,18969,P100025,86,45.0,3,0.75,good,5v5
SQ_18969_P100025_87,18969,P100025,87,24.0,3,0.45,average,5v5
SQ_18969_P100025_88,18969,P100025,88,58.0,3,0.75,good,5v5
SQ_18969_P100025_94,18969,P100025,94,15.0,3,0.45,average,5v5
SQ_18969_P100025_95,18969,P100025,95,10.0,3,0.45,average,5v5
SQ_18969_P100025_97,18969,P100025,97,24.0,3,0.45,average,5v6
SQ_18969_P100025_98,18969,P100025,98,57.99,3,0.75,good,5v5
SQ_18969_P100027_1,18969,P100027,1,82.0,1,0.45,average,5v5
SQ_18969_P100027_11,18969,P100027,11,25.0,1,0.45,average,5v5
SQ_18969_P100027_12,18969,P100027,12,35.0,1,0.6,good,5v5
SQ_18969_P100027_13,18969,P100027,13,52.0,1,0.75,good,5v5
SQ_18969_P100027_22,18969,P100027,22,57.0,1,0.75,good,5v5
SQ_18969_P100027_23,18969,P100027,23,37.0,1,0.6,good,5v5
SQ_18969_P100027_24,18969,P100027,24,61.0,1,0.6,good,5v5
SQ_18969_P100027_29,18969,P100027,29,58.99,1,0.75,good,5v5
SQ_18969_P100027_31,18969,P100027,31,49.0,2,0.75,good,5v5
SQ_18969_P100027_32,18969,P100027,32,19.0,2,0.45,average,5v5
SQ_18969_P100027_33,18969,P100027,33,17.0,2,0.45,average,5v5
SQ_18969_P100027_39,18969,P100027,39,99.0,2,0.45,average,5v5
SQ_18969_P100027_40,18969,P100027,40,20.0,2,0.45,average,5v5
SQ_18969_P100027_41,18969,P100027,41,4.0,2,0.45,average,5v5
SQ_18969_P100027_42,18969,P100027,42,29.0,2,0.45,average,5v5
SQ_18969_P100027_53,18969,P100027,53,124.0,2,0.45,average,5v5
SQ_18969_P100027_54,18969,P100027,54,16.0,2,0.45,average,5v5
SQ_18969_P100027_66,18969,P100027,66,48.0,3,0.75,good,5v5
SQ_18969_P100027_67,18969,P100027,67,52.0,3,0.75,good,5v5
SQ_18969_P100027_68,18969,P100027,68,16.0,3,0.45,average,5v5
SQ_18969_P100027_69,18969,P100027,69,17.0,3,0.45,average,5v5
SQ_18969_P100027_70,18969,P100027,70,11.0,3,0.45,average,5v5
SQ_18969_P100027_76,18969,P100027,76,32.0,3,0.6,good,5v5
SQ_18969_P100027_77,18969,P100027,77,61.0,3,0.6,good,5v5
SQ_18969_P100027_78,18969,P100027,78,42.0,3,0.75,good,5v5
SQ_18969_P100027_86,18969,P100027,86,45.0,3,0.75,good,5v5
SQ_18969_P100027_87,18969,P100027,87,24.0,3,0.45,average,5v5
SQ_18969_P100027_95,18969,P100027,95,10.0,3,0.45,average,5v5
SQ_18969_P100027_97,18969,P100027,97,24.0,3,0.45,average,5v6
SQ_18969_P100027_98,18969,P100027,98,57.99,3,0.75,good,5v5
