box_id,box_id_rev,x_min,x_max,y_min,y_max,y_description,x_description,danger,slot,zone,side,dotside,depth
DZ15,OZ15,-84.0,-89.0,22.5,30.0,dot to half way to dot,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
DZ16,OZ16,-84.0,-89.0,30.0,37.5,half way to dot to hash,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
DZ17,OZ17,-84.0,-89.0,37.5,42.5,hash to boards,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
DZ18,OZ18,-76.5,-84.0,-42.5,-37.5,boards to hash,bottom of circle to half way to dot,low,outside wide,offensive,right,outside dots,below hash marks
DZ19,OZ19,-76.5,-84.0,-37.5,-30.0,hash to half way to dot,bottom of circle to half way to dot,low,outside wide,offensive,right,outside dots,below hash marks
DZ20,OZ20,-76.5,-84.0,-30.0,-22.5,half way to dot to dot,bottom of circle to half way to dot,low,outside wide,offensive,right,outside dots,below hash marks
DZ21,OZ21,-76.5,-84.0,-22.5,-15.0,dot to half way to dot,bottom of circle to half way to dot,low,outside wide,offensive,right,inside dots,below hash marks
DZ22,OZ22,-76.5,-84.0,-15.0,-7.5,half way to dot to hash,bottom of circle to half way to dot,mid,outer slot,offensive,right,inside dots,below hash marks
DZ23,OZ23,-76.5,-84.0,-7.5,-5.5,hash to post,bottom of circle to half way to dot,high,low inner slot,offensive,center,inside hash marks,below hash marks
DZ24,OZ24,-76.5,-84.0,-5.5,5.5,post to post,bottom of circle to half way to dot,high,low inner slot,offensive,center,inside hash marks,below hash marks
DZ25,OZ25,-76.5,-84.0,5.5,7.5,hash to post,bottom of circle to half way to dot,high,low inner slot,offensive,center,inside dots,below hash marks
DZ26,OZ26,-76.5,-84.0,7.5,15.0,hash to half way to dot,bottom of circle to half way to dot,mid,outer slot,offensive,left,inside dots,below hash marks
DZ27,OZ27,-76.5,-84.0,15.0,22.5,half way to dot to dot,bottom of circle to half way to dot,low,outside wide,offensive,left,outside dots,below hash marks
DZ28,OZ28,-76.5,-84.0,22.5,30.0,dot to half way to dot,bottom of circle to half way to dot,low,outside wide,offensive,left,outside dots,below hash marks
DZ29,OZ29,-76.5,-84.0,30.0,37.5,half way to dot to hash,bottom of circle to half way to dot,low,outside wide,offensive,left,outside dots,below hash marks
DZ30,OZ30,-76.5,-84.0,37.5,42.5,hash to boards,bottom of circle to half way to dot,low,outside wide,offensive,left,outside dots,below hash marks
DZ31,OZ31,-69.0,-76.5,-42.5,-37.5,boards to hash,half way to dot to dot,low,outside wide,offensive,right,outside dots,below hash marks
DZ32,OZ32,-69.0,-76.5,-37.5,-30.0,hash to half way to dot,half way to dot to dot,low,outside wide,offensive,right,outside dots,below hash marks
DZ33,OZ33,-69.0,-76.5,-30.0,-22.5,half way to dot to dot,half way to dot to dot,low,outside wide,offensive,right,outside dots,below hash marks
DZ34,OZ34,-69.0,-76.5,-22.5,-15.0,dot to half way to dot,half way to dot to dot,mid,outer slot,offensive,right,inside dots,below hash marks
DZ35,OZ35,-69.0,-76.5,-15.0,-7.5,half way to dot to hash,half way to dot to dot,mid,outer slot,offensive,right,inside dots,below hash marks
DZ36,OZ36,-69.0,-76.5,-7.5,-5.5,hash to post,half way to dot to dot,high,low inner slot,offensive,center,inside hash marks,below hash marks
DZ37,OZ37,-69.0,-76.5,-5.5,5.5,post to post,half way to dot to dot,high,low inner slot,offensive,center,inside hash marks,below hash marks
DZ38,OZ38,-69.0,-76.5,5.5,7.5,hash to post,half way to dot to dot,high,low inner slot,offensive,center,inside dots,below hash marks
DZ39,OZ39,-69.0,-76.5,7.5,15.0,hash to half way to dot,half way to dot to dot,mid,outer slot,offensive,left,inside dots,below hash marks
DZ40,OZ40,-69.0,-76.5,15.0,22.5,half way to dot to dot,half way to dot to dot,mid,outer slot,offensive,left,outside dots,below hash marks
DZ41,OZ41,-69.0,-76.5,22.5,30.0,dot to half way to dot,half way to dot to dot,low,outside wide,offensive,left,outside dots,below hash marks
DZ42,OZ42,-69.0,-76.5,30.0,37.5,half way to dot to hash,half way to dot to dot,low,outside wide,offensive,left,outside dots,below hash marks
DZ43,OZ43,-69.0,-76.5,37.5,42.5,hash to boards,half way to dot to dot,low,outside wide,offensive,left,outside dots,below hash marks
DZ44,OZ44,-61.5,-69.0,-42.5,-37.5,boards to hash,dot to half way to dot,low,outside wide,offensive,right,outside dots,below top of circle
DZ45,OZ45,-61.5,-69.0,-37.5,-30.0,hash to half way to dot,dot to half way to dot,low,outside wide,offensive,right,outside dots,below top of circle
DZ46,OZ46,-61.5,-69.0,-30.0,-22.5,half way to dot to dot,dot to half way to dot,low,outside wide,offensive,right,outside dots,below top of circle
DZ47,OZ47,-61.5,-69.0,-22.5,-15.0,dot to half way to dot,dot to half way to dot,mid,outer slot,offensive,right,inside dots,below top of circle
DZ48,OZ48,-61.5,-69.0,-15.0,-7.5,half way to dot to hash,dot to half way to dot,mid,outer slot,offensive,right,inside dots,below top of circle
DZ49,OZ49,-61.5,-69.0,-7.5,-5.5,hash to post,dot to half way to dot,mid,high inner slot,offensive,center,inside hash marks,below top of circle
DZ50,OZ50,-61.5,-69.0,-5.5,5.5,post to post,dot to half way to dot,mid,high inner slot,offensive,center,inside hash marks,below top of circle
DZ51,OZ51,-61.5,-69.0,5.5,7.5,hash to post,dot to half way to dot,mid,high inner slot,offensive,center,inside dots,below top of circle
DZ52,OZ52,-61.5,-69.0,7.5,15.0,hash to half way to dot,dot to half way to dot,mid,outer slot,offensive,left,inside dots,below top of circle
DZ53,OZ53,-61.5,-69.0,15.0,22.5,half way to dot to dot,dot to half way to dot,mid,outer slot,offensive,left,outside dots,below top of circle
