shot_event_key,event_id,game_id,period,event_type,event_detail,is_goal,shooter_player_id,shooter_name,shooter_team_id,shot_x,shot_y,shot_distance,shot_angle,friendly_screen_score,own_team_screen_score,total_screen_score,screen_count,is_screened,net_target_x,net_target_y,net_location_id,_export_timestamp
SHE1896901605,EV1896901605,18969,2,Shot,Shot_OnNetSaved,False,P100210,Josh Simonds,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.692496
SHE1896901591,EV1896901591,18969,2,Shot,Shot_OnNetSaved,False,P100161,Galen Wood,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.694877
SHE1896901582,EV1896901582,18969,2,Shot,Shot_OnNetSaved,False,P100117,Keegan Mantaro,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.697230
SHE1896901574,EV1896901574,18969,2,Shot,Shot_OnNetSaved,False,P100093,Pat Major,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.699583
SHE1896901567,EV1896901567,18969,2,Shot,Shot_Blocked,False,P100039,Nicole Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.701817
SHE1896901547,EV1896901547,18969,2,Shot,Shot_OnNetSaved,False,P100093,Pat Major,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.704168
SHE1896901539,EV1896901539,18969,2,Shot,Shot_Missed,False,P100064,James Rynearson,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.706440
SHE1896901518,EV1896901518,18969,2,Shot,Shot_OnNetSaved,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.708641
SHE1896901515,EV1896901515,18969,2,Shot,Shot_Missed,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.710845
SHE1896902574,EV1896902574,18969,3,Shot,Shot_OnNetSaved,False,P100002,Kevin White,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.713255
