game_id,season,season_id,game_url,date,game_time,home_team_name,away_team_name,home_team_id,away_team_id,head_to_head_id,game_type,playoff_round,last_period_type,period_length,ot_period_length,shootout_rounds,home_total_goals,away_total_goals,home_team_period1_goals,home_team_period2_goals,home_team_period3_goals,home_team_periodOT_goals,away_team_period1_goals,away_team_period2_goals,away_team_period3_goals,away_team_periodOT_goals,home_team_seeding,away_team_seeding,home_team_w,home_team_l,home_team_t,home_team_pts,away_team_w,away_team_l,away_team_t,away_team_pts
18013,20242025,N20242025F,https://www.noradhockey.com/event/18013/,2025-01-05 00:00:00,,Nelson,AMOS,N10004,N10001,N10001_N10004,Regular,,Regulation,00:18:00,00:00:00,0,11,2,3,3,5,0,1,0,1,0,,,1,0,0,2,0,1,0,0
17955,20242025,N20242025F,https://www.noradhockey.com/event/17955/,2024-12-29 00:00:00,,AMOS,Orphans,N10001,N10006,N10001_N10006,Regular,,Regulation,00:18:00,00:00:00,0,2,4,0,0,2,0,1,2,1,0,,,0,1,0,0,1,0,0,2
18011,20242025,N20242025F,https://www.noradhockey.com/event/18011/,2024-12-22 00:00:00,,Outlaws,Ace,N10007,N10002,N10002_N10007,Regular,,Regulation,00:18:00,00:00:00,0,5,5,4,0,1,0,3,1,1,0,,,0,0,1,1,0,0,1,1
18010,20242025,N20242025F,https://www.noradhockey.com/event/18010/,2024-12-22 00:00:00,,HollowBrook,Triple J,N10003,N10009,N10003_N10009,Regular,,Regulation,00:18:00,00:00:00,0,3,4,0,2,1,0,3,0,1,0,,,0,1,0,0,1,0,0,2
18009,20242025,N20242025F,https://www.noradhockey.com/event/18009/,2024-12-22 00:00:00,,Nelson,Platinum,N10004,N10008,N10004_N10008,Regular,,Regulation,00:18:00,00:00:00,0,4,4,1,2,1,0,1,2,1,0,,,0,0,1,1,0,0,1,1
18008,20242025,N20242025F,https://www.noradhockey.com/event/18008/,2024-12-22 00:00:00,,AMOS,OS Offices,N10001,N10005,N10001_N10005,Regular,,Regulation,00:18:00,00:00:00,0,4,7,2,2,0,0,3,1,3,0,,,0,1,0,0,1,0,0,2
18006,20242025,N20242025F,https://www.noradhockey.com/event/18006/,2024-12-15 00:00:00,,HollowBrook,Orphans,N10003,N10006,N10003_N10006,Regular,,Regulation,00:18:00,00:00:00,0,5,2,1,3,1,0,0,1,1,0,,,1,0,0,2,0,1,0,0
18005,20242025,N20242025F,https://www.noradhockey.com/event/18005/,2024-12-15 00:00:00,,Nelson,Ace,N10004,N10002,N10002_N10004,Regular,,Regulation,00:18:00,00:00:00,0,8,6,4,3,1,0,5,1,0,0,,,1,0,0,2,0,1,0,0
18004,20242025,N20242025F,https://www.noradhockey.com/event/18004/,2024-12-15 00:00:00,,AMOS,Triple J,N10001,N10009,N10001_N10009,Regular,,Regulation,00:18:00,00:00:00,0,5,7,2,1,2,0,1,1,5,0,,,0,1,0,0,1,0,0,2
18003,20242025,N20242025F,https://www.noradhockey.com/event/18003/,2024-12-15 00:00:00,,OS Offices,Platinum,N10005,N10008,N10005_N10008,Regular,,Regulation,00:18:00,00:00:00,0,4,7,1,2,1,0,1,2,4,0,,,0,1,0,0,1,0,0,2
17996,20242025,N20242025F,https://www.noradhockey.com/event/17996/,2024-11-24 00:00:00,,AMOS,HollowBrook,N10001,N10003,N10001_N10003,Regular,,Regulation,00:18:00,00:00:00,0,2,4,1,1,0,0,0,2,2,0,,,0,1,0,0,1,0,0,2
17995,20242025,N20242025F,https://www.noradhockey.com/event/17995/,2024-11-24 00:00:00,,OS Offices,Outlaws,N10005,N10007,N10005_N10007,Regular,,Regulation,00:18:00,00:00:00,0,2,3,1,1,0,0,1,2,0,0,,,0,1,0,0,1,0,0,2
17994,20242025,N20242025F,https://www.noradhockey.com/event/17994/,2024-11-24 00:00:00,,Platinum,Orphans,N10008,N10006,N10006_N10008,Regular,,Regulation,00:18:00,00:00:00,0,4,4,3,1,0,0,1,3,0,0,,,0,0,1,1,0,0,1,1
17993,20242025,N20242025F,https://www.noradhockey.com/event/17993/,2024-11-24 00:00:00,,Triple J,Ace,N10009,N10002,N10002_N10009,Regular,,Regulation,00:18:00,00:00:00,0,8,3,3,2,3,0,1,1,1,0,,,1,0,0,2,0,1,0,0
17991,20242025,N20242025F,https://www.noradhockey.com/event/17991/,2024-11-17 00:00:00,,OS Offices,Nelson,N10005,N10004,N10004_N10005,Regular,,Regulation,00:18:00,00:00:00,0,5,5,2,2,1,0,2,1,2,0,,,0,0,1,1,0,0,1,1
17990,20242025,N20242025F,https://www.noradhockey.com/event/17990/,2024-11-17 00:00:00,,Platinum,HollowBrook,N10008,N10003,N10003_N10008,Regular,,Regulation,00:18:00,00:00:00,0,5,2,2,2,1,0,1,0,1,0,,,1,0,0,2,0,1,0,0
17989,20242025,N20242025F,https://www.noradhockey.com/event/17989/,2024-11-17 00:00:00,,Triple J,Outlaws,N10009,N10007,N10007_N10009,Regular,,Regulation,00:18:00,00:00:00,0,6,4,0,3,3,0,2,2,0,0,,,1,0,0,2,0,1,0,0
17988,20242025,N20242025F,https://www.noradhockey.com/event/17988/,2024-11-17 00:00:00,,Ace,Orphans,N10002,N10006,N10002_N10006,Regular,,Regulation,00:18:00,00:00:00,0,3,6,0,1,2,0,4,2,0,0,,,0,1,0,0,1,0,0,2
17986,20242025,N20242025F,https://www.noradhockey.com/event/17986/,2024-11-10 00:00:00,,Platinum,AMOS,N10008,N10001,N10001_N10008,Regular,,Regulation,00:18:00,00:00:00,0,4,5,1,2,1,0,1,1,3,0,,,0,1,0,0,1,0,0,2
17985,20242025,N20242025F,https://www.noradhockey.com/event/17985/,2024-11-10 00:00:00,,Triple J,Nelson,N10009,N10004,N10004_N10009,Regular,,Regulation,00:18:00,00:00:00,0,2,2,1,0,1,0,0,1,1,0,,,0,0,1,1,0,0,1,1
17984,20242025,N20242025F,https://www.noradhockey.com/event/17984/,2024-11-10 00:00:00,,Ace,HollowBrook,N10002,N10003,N10002_N10003,Regular,,Regulation,00:18:00,00:00:00,0,2,8,1,0,1,,3,5,0,0,,,0,1,0,0,1,0,0,2
17983,20242025,N20242025F,https://www.noradhockey.com/event/17983/,2024-11-10 00:00:00,,Orphans,Outlaws,N10006,N10007,N10006_N10007,Regular,,Regulation,00:18:00,00:00:00,0,6,5,1,1,4,0,1,2,2,0,,,1,0,0,2,0,1,0,0
17981,20242025,N20242025F,https://www.noradhockey.com/event/17981/,2024-11-03 00:00:00,,Triple J,OS Offices,N10009,N10005,N10005_N10009,Regular,,Regulation,00:18:00,00:00:00,0,4,6,3,1,0,0,2,2,2,0,,,0,1,0,0,1,0,0,2
17980,20242025,N20242025F,https://www.noradhockey.com/event/17980/,2024-11-03 00:00:00,,Ace,AMOS,N10002,N10001,N10001_N10002,Regular,,Regulation,00:18:00,00:00:00,0,3,4,1,1,1,0,1,1,2,0,,,0,1,0,0,1,0,0,2
17979,20242025,N20242025F,https://www.noradhockey.com/event/17979/,2024-11-03 00:00:00,,Orphans,Nelson,N10006,N10004,N10004_N10006,Regular,,Regulation,00:18:00,00:00:00,0,5,4,2,3,0,0,2,2,0,0,,,1,0,0,2,0,1,0,0
17978,20242025,N20242025F,https://www.noradhockey.com/event/17978/,2024-11-03 00:00:00,,Outlaws,HollowBrook,N10007,N10003,N10003_N10007,Regular,,Regulation,00:18:00,00:00:00,0,0,9,0,0,0,0,3,4,2,0,,,0,1,0,0,1,0,0,2
17976,20242025,N20242025F,https://www.noradhockey.com/event/17976/,2024-10-27 00:00:00,,Ace,Platinum,N10002,N10008,N10002_N10008,Regular,,Regulation,00:18:00,00:00:00,0,2,9,1,0,1,0,3,1,5,0,,,0,1,0,0,1,0,0,2
17975,20242025,N20242025F,https://www.noradhockey.com/event/17975/,2024-10-27 00:00:00,,Orphans,OS Offices,N10006,N10005,N10005_N10006,Regular,,Regulation,00:18:00,00:00:00,0,3,2,2,1,0,0,0,1,1,0,,,1,0,0,2,0,1,0,0
17974,20242025,N20242025F,https://www.noradhockey.com/event/17974/,2024-10-27 00:00:00,,Outlaws,AMOS,N10007,N10001,N10001_N10007,Regular,,Regulation,00:18:00,00:00:00,0,0,5,0,0,0,0,2,1,2,0,,,0,1,0,0,1,0,0,2
17973,20242025,N20242025F,https://www.noradhockey.com/event/17973/,2024-10-27 00:00:00,,HollowBrook,Nelson,N10003,N10004,N10003_N10004,Regular,,Regulation,00:18:00,00:00:00,0,5,2,3,1,1,0,0,1,1,0,,,1,0,0,2,0,1,0,0
17971,20242025,N20242025F,https://www.noradhockey.com/event/17971/,2024-10-20 00:00:00,,Orphans,Triple J,N10006,N10009,N10006_N10009,Regular,,Regulation,00:18:00,00:00:00,0,4,6,1,1,2,0,2,3,1,0,,,0,1,0,0,1,0,0,2
17970,20242025,N20242025F,https://www.noradhockey.com/event/17970/,2024-10-20 00:00:00,,Outlaws,Platinum,N10007,N10008,N10007_N10008,Regular,,Regulation,00:18:00,00:00:00,0,5,4,3,0,2,0,0,3,1,0,,,1,0,0,2,0,1,0,0
17969,20242025,N20242025F,https://www.noradhockey.com/event/17969/,2024-10-20 00:00:00,,HollowBrook,OS Offices,N10003,N10005,N10003_N10005,Regular,,Regulation,00:18:00,00:00:00,0,2,4,1,0,1,0,0,2,2,0,,,0,1,0,0,1,0,0,2
17968,20242025,N20242025F,https://www.noradhockey.com/event/17968/,2024-10-20 00:00:00,,Nelson,AMOS,N10004,N10001,N10001_N10004,Regular,,Regulation,00:18:00,00:00:00,0,1,10,1,0,0,0,4,5,1,0,,,0,1,0,0,1,0,0,2
17966,20242025,N20242025F,https://www.noradhockey.com/event/17966/,2024-10-13 00:00:00,,Outlaws,Ace,N10007,N10002,N10002_N10007,Regular,,Regulation,00:18:00,00:00:00,0,2,2,0,1,1,0,0,1,1,0,,,0,0,1,1,0,0,1,1
17965,20242025,N20242025F,https://www.noradhockey.com/event/17965/,2024-10-13 00:00:00,,HollowBrook,Triple J,N10003,N10009,N10003_N10009,Regular,,Regulation,00:18:00,00:00:00,0,5,4,2,1,2,0,2,1,1,0,,,1,0,0,2,0,1,0,0
