play_detail_id,play_detail_code,play_detail_name,play_category,skill_level,description
PD0128,PuckRecoveryRetreivalAttemptedClear,PuckRecoveryRetreivalAttemptedClear,Other,Standard,Micro-play action describing HOW the event was executed
PD0129,PuckRecoveryRetreivalClear,PuckRecoveryRetreivalClear,Other,Standard,Micro-play action describing HOW the event was executed
PD0130,PuckRecoveryRetreivalDumpIn,PuckRecoveryRetreivalDumpIn,Other,Standard,Micro-play action describing HOW the event was executed
PD0131,PuckRecoveryRetreivalFaceoff,PuckRecoveryRetreivalFaceoff,Other,Standard,Micro-play action describing HOW the event was executed
PD0132,PuckRecoveryRetreivalLoosePuckBattle,PuckRecoveryRetreivalLoosePuckBattle,Other,Standard,Micro-play action describing HOW the event was executed
PD0133,PuckRecoveryRetreivalOther,PuckRecoveryRetreivalOther,Other,Standard,Micro-play action describing HOW the event was executed
PD0134,PuckRecoveryRetreivalPass,PuckRecoveryRetreivalPass,Other,Standard,Micro-play action describing HOW the event was executed
PD0135,PuckRecoveryRetreivalRebound,PuckRecoveryRetreivalRebound,Other,Standard,Micro-play action describing HOW the event was executed
PD0136,PuckRecoveryRetreivalShot,PuckRecoveryRetreivalShot,Other,Standard,Micro-play action describing HOW the event was executed
PD0137,PuckRecoveryRetreivalTurnover,PuckRecoveryRetreivalTurnover,Other,Standard,Micro-play action describing HOW the event was executed
PD0138,ReceiverMissed,ReceiverMissed,Other,Standard,Micro-play action describing HOW the event was executed
PD0139,RecoveryRetreivalAttemptedClear,RecoveryRetreivalAttemptedClear,Other,Standard,Micro-play action describing HOW the event was executed
PD0140,RecoveryRetreivalClear,RecoveryRetreivalClear,Other,Standard,Micro-play action describing HOW the event was executed
PD0141,RecoveryRetreivalDumpIn,RecoveryRetreivalDumpIn,Other,Standard,Micro-play action describing HOW the event was executed
PD0142,RecoveryRetreivalFaceoff,RecoveryRetreivalFaceoff,Other,Standard,Micro-play action describing HOW the event was executed
PD0143,RecoveryRetreivalPass,RecoveryRetreivalPass,Other,Standard,Micro-play action describing HOW the event was executed
PD0144,RecoveryRetreivalRebound,RecoveryRetreivalRebound,Other,Standard,Micro-play action describing HOW the event was executed
PD0145,RecoveryRetreivalShot,RecoveryRetreivalShot,Other,Standard,Micro-play action describing HOW the event was executed
PD0146,RecoveryRetreivalTurnover,RecoveryRetreivalTurnover,Other,Standard,Micro-play action describing HOW the event was executed
PD0147,Screen,Screen,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0148,SecondTouch,SecondTouch,Other,Standard,Micro-play action describing HOW the event was executed
PD0149,SeperateFromPuck,SeperateFromPuck,Other,Standard,Micro-play action describing HOW the event was executed
PD0150,StickCheck,StickCheck,Defensive,Standard,Micro-play action describing HOW the event was executed
PD0151,StoppedDeke,StoppedDeke,Offensive,High,Micro-play action describing HOW the event was executed
PD0152,ZoneEntryDenial,ZoneEntryDenial,Other,Standard,Micro-play action describing HOW the event was executed
PD0153,ZoneExitDenial,ZoneExitDenial,Other,Standard,Micro-play action describing HOW the event was executed
PD0154,ZoneKeepin,ZoneKeepin,Other,Standard,Micro-play action describing HOW the event was executed
