zone_exit_key,game_id,player_id,total_exits,controlled_exits,clear_exits,failed_exits,exit_success_rate,_export_timestamp
P100164_18981,18981,P100164,27,0,0,0,0.0,2026-01-13T11:03:06.487780
P100159_18981,18981,P100159,27,0,0,0,0.0,2026-01-13T11:03:06.488006
P100072_18981,18981,P100072,12,0,0,0,0.0,2026-01-13T11:03:06.488212
P100093_18981,18981,P100093,34,0,0,0,0.0,2026-01-13T11:03:06.488418
P100161_18981,18981,P100161,15,0,0,0,0.0,2026-01-13T11:03:06.488619
P100066_18981,18981,P100066,34,0,0,0,0.0,2026-01-13T11:03:06.488860
P100074_18981,18981,P100074,40,0,0,0,0.0,2026-01-13T11:03:06.489071
P100197_18981,18981,P100197,49,0,0,0,0.0,2026-01-13T11:03:06.489345
P100061_18981,18981,P100061,24,0,0,0,0.0,2026-01-13T11:03:06.489547
P100108_18981,18981,P100108,22,0,0,0,0.0,2026-01-13T11:03:06.489742
P100230_18981,18981,P100230,12,0,0,0,0.0,2026-01-13T11:03:06.489967
P100002_18981,18981,P100002,30,0,0,0,0.0,2026-01-13T11:03:06.490170
P100079_18981,18981,P100079,32,0,0,0,0.0,2026-01-13T11:03:06.490375
P100070_18981,18981,P100070,30,0,0,0,0.0,2026-01-13T11:03:06.490601
P100132_18981,18981,P100132,18,0,0,0,0.0,2026-01-13T11:03:06.490797
P100111_18981,18981,P100111,5,0,0,0,0.0,2026-01-13T11:03:06.491003
P100201_18981,18981,P100201,19,0,0,0,0.0,2026-01-13T11:03:06.491197
P100198_18981,18981,P100198,35,0,0,0,0.0,2026-01-13T11:03:06.491424
P100071_18981,18981,P100071,13,0,0,0,0.0,2026-01-13T11:03:06.491624
P100105_18981,18981,P100105,20,0,0,0,0.0,2026-01-13T11:03:06.491832
P100224_18981,18981,P100224,9,0,0,0,0.0,2026-01-13T11:03:06.492035
P100016_18981,18981,P100016,1,0,0,0,0.0,2026-01-13T11:03:06.492222
P100224_18987,18987,P100224,17,0,0,0,0.0,2026-01-13T11:03:06.492735
P100001_18987,18987,P100001,63,0,0,4,0.0,2026-01-13T11:03:06.492972
P100214_18987,18987,P100214,24,0,0,2,0.0,2026-01-13T11:03:06.493190
P100032_18987,18987,P100032,49,0,0,3,0.0,2026-01-13T11:03:06.493429
P100232_18987,18987,P100232,31,0,0,1,0.0,2026-01-13T11:03:06.493691
P100223_18987,18987,P100223,13,0,0,0,0.0,2026-01-13T11:03:06.493913
P100108_18987,18987,P100108,32,0,0,2,0.0,2026-01-13T11:03:06.494131
P100002_18987,18987,P100002,19,0,0,1,0.0,2026-01-13T11:03:06.494336
P100099_18987,18987,P100099,25,0,0,2,0.0,2026-01-13T11:03:06.494555
P100230_18987,18987,P100230,14,0,0,0,0.0,2026-01-13T11:03:06.494764
P100105_18987,18987,P100105,35,0,0,3,0.0,2026-01-13T11:03:06.494991
P100132_18987,18987,P100132,23,0,0,1,0.0,2026-01-13T11:03:06.495194
P100031_18987,18987,P100031,17,0,0,0,0.0,2026-01-13T11:03:06.495411
P100064_18987,18987,P100064,19,0,0,0,0.0,2026-01-13T11:03:06.495610
P100128_18987,18987,P100128,25,0,0,2,0.0,2026-01-13T11:03:06.495829
P100198_18987,18987,P100198,36,0,0,4,0.0,2026-01-13T11:03:06.496054
P100201_18987,18987,P100201,28,0,0,1,0.0,2026-01-13T11:03:06.496266
P100185_18987,18987,P100185,47,0,0,1,0.0,2026-01-13T11:03:06.496500
P100034_18987,18987,P100034,21,0,0,1,0.0,2026-01-13T11:03:06.496710
P100033_18987,18987,P100033,25,0,0,0,0.0,2026-01-13T11:03:06.496927
P100039_18987,18987,P100039,16,0,0,1,0.0,2026-01-13T11:03:06.497126
P100080_18987,18987,P100080,6,0,0,1,0.0,2026-01-13T11:03:06.497336
P100004_18987,18987,P100004,16,0,0,1,0.0,2026-01-13T11:03:06.497548
P100170_18987,18987,P100170,31,0,0,2,0.0,2026-01-13T11:03:06.497806
P100009_18987,18987,P100009,3,0,0,0,0.0,2026-01-13T11:03:06.498009
