player_game_key,game_id,player_id,player_name,xg_for,xg_against,xg_diff,xg_pct,goals_above_expected,shots_high_danger,shots_medium_danger,shots_low_danger,scoring_chances,high_danger_chances,xg_per_shot,shot_quality_avg
PG1898100016,18981,P100111,Michelle Freddolino,0.18,0.128,0.052,58.4,-0.18,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1898100017,18981,P100119,Eric Elliott,0.36,0.188,0.172,65.7,-0.36,1.0,3.0,5.0,4.0,1.0,0.09,1.56
PG1898100018,18981,P100132,Nick Ciampoli,0.0,0.105,-0.105,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
PG1898100019,18981,P100138,Thane Gilmore,0.0,0.366,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1898100020,18981,P100159,Josh Cronk,0.27,0.132,0.138,67.2,-0.27,1.0,2.0,3.0,3.0,1.0,0.09,1.67
PG1898100021,18981,P100161,Galen Wood,0.0,0.105,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1898100022,18981,P100164,Zachary Coleman,0.63,0.136,0.494,82.2,0.37,2.0,4.0,4.0,6.0,2.0,0.09,1.8
PG1898100023,18981,P100197,Samuel Yetsko,0.63,0.189,0.441,76.9,-0.63,2.0,4.0,5.0,6.0,2.0,0.09,1.73
PG1898100024,18981,P100198,Maxwell Donaty,0.0,0.144,-0.144,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
PG1898100025,18981,P100201,Garrett Ashcroft,0.09,0.113,-0.023,44.3,-0.09,1.0,0.0,0.0,1.0,1.0,0.09,3.0
PG1898100026,18981,P100224,Kaitlyn Shain,0.09,0.097,-0.007,48.1,-0.09,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1898100027,18981,P100230,Jennifer Valente,0.0,0.111,-0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1898700001,18987,P100001,Sam Downs,0.09,0.206,-0.116,30.4,-0.09,2.0,4.0,4.0,6.0,2.0,0.09,1.8
PG1898700002,18987,P100002,Kevin White,0.0,0.206,-0.206,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
PG1898700003,18987,P100004,Cesar Shinall,0.36,0.125,0.235,74.2,-0.36,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1898700004,18987,P100009,Graham Peters,0.0,0.39,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1898700005,18987,P100016,Wyatt Crandall,0.0,0.396,-0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1898700006,18987,P100031,Christopher Mihlon,0.0,0.135,-0.135,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
PG1898700007,18987,P100032,Trevor Chavez,0.36,0.226,0.134,61.4,-0.36,1.0,2.0,2.0,3.0,1.0,0.09,1.8
