log_key,run_id,table_name,started_at,completed_at,status,rows_in_source,rows_loaded,rows_quarantined,rows_failed,duration_seconds,error_message,source_checksum
LOG000053,20251231_050719,fact_game_status,2025-12-31T05:07:20.829716,2025-12-31T05:07:20.837691,success,0,562,0,0,0.007975,,
LOG000054,20251231_050719,fact_gameroster,2025-12-31T05:07:20.841279,2025-12-31T05:07:21.092153,success,0,14471,0,0,0.250874,,
LOG000055,20251231_050719,fact_goalie_game_stats,2025-12-31T05:07:21.097194,2025-12-31T05:07:21.101594,success,0,8,0,0,0.0044,,
LOG000056,20251231_050719,fact_h2h,2025-12-31T05:07:21.105335,2025-12-31T05:07:21.114029,success,0,684,0,0,0.008694,,
LOG000057,20251231_050719,fact_head_to_head,2025-12-31T05:07:21.117824,2025-12-31T05:07:21.125592,success,0,572,0,0,0.007768,,
LOG000058,20251231_050719,fact_leadership,2025-12-31T05:07:21.129276,2025-12-31T05:07:21.133199,success,0,28,0,0,0.003923,,
LOG000059,20251231_050719,fact_league_leaders_snapshot,2025-12-31T05:07:21.136623,2025-12-31T05:07:21.224220,success,0,14471,0,0,0.087597,,
LOG000060,20251231_050719,fact_line_combos,2025-12-31T05:07:21.228689,2025-12-31T05:07:21.237774,success,0,332,0,0,0.009085,,
LOG000061,20251231_050719,fact_linked_events,2025-12-31T05:07:21.241686,2025-12-31T05:07:21.255685,success,0,473,0,0,0.013999,,
LOG000062,20251231_050719,fact_matchup_summary,2025-12-31T05:07:21.259288,2025-12-31T05:07:21.267630,success,0,684,0,0,0.008342,,
LOG000063,20251231_050719,fact_player_boxscore_all,2025-12-31T05:07:21.271269,2025-12-31T05:07:21.423592,success,0,14471,0,0,0.152323,,
LOG000064,20251231_050719,fact_player_event_chains,2025-12-31T05:07:21.428180,2025-12-31T05:07:21.483597,success,0,5831,0,0,0.055417,,
LOG000065,20251231_050719,fact_player_game_position,2025-12-31T05:07:21.488067,2025-12-31T05:07:21.492293,success,0,105,0,0,0.004226,,
LOG000066,20251231_050719,fact_player_game_stats,2025-12-31T05:07:21.496198,2025-12-31T05:07:21.518002,success,0,107,0,0,0.021804,,
LOG000067,20251231_050719,fact_player_micro_stats,2025-12-31T05:07:21.522427,2025-12-31T05:07:21.526304,success,0,212,0,0,0.003877,,
LOG000068,20251231_050719,fact_player_pair_stats,2025-12-31T05:07:21.530516,2025-12-31T05:07:21.536828,success,0,475,0,0,0.006312,,
LOG000069,20251231_050719,fact_player_period_stats,2025-12-31T05:07:21.540898,2025-12-31T05:07:21.545028,success,0,321,0,0,0.00413,,
LOG000070,20251231_050719,fact_player_stats_long,2025-12-31T05:07:21.548822,2025-12-31T05:07:21.581443,success,0,7026,0,0,0.032621,,
LOG000071,20251231_050719,fact_player_xy_long,2025-12-31T05:07:21.585369,2025-12-31T05:07:21.588364,success,0,0,0,0,0.002995,,
LOG000072,20251231_050719,fact_player_xy_wide,2025-12-31T05:07:21.592323,2025-12-31T05:07:21.596765,success,0,0,0,0,0.004442,,
LOG000073,20251231_050719,fact_playergames,2025-12-31T05:07:21.600830,2025-12-31T05:07:21.639759,success,0,3010,0,0,0.038929,,
LOG000074,20251231_050719,fact_plays,2025-12-31T05:07:21.644235,2025-12-31T05:07:21.677442,success,0,2714,0,0,0.033207,,
LOG000075,20251231_050719,fact_possession_time,2025-12-31T05:07:21.681867,2025-12-31T05:07:21.686095,success,0,107,0,0,0.004228,,
LOG000076,20251231_050719,fact_puck_xy_long,2025-12-31T05:07:21.690230,2025-12-31T05:07:21.693099,success,0,0,0,0,0.002869,,
LOG000077,20251231_050719,fact_puck_xy_wide,2025-12-31T05:07:21.697164,2025-12-31T05:07:21.701756,success,0,0,0,0,0.004592,,
LOG000078,20251231_050719,fact_registration,2025-12-31T05:07:21.705900,2025-12-31T05:07:21.711797,success,0,190,0,0,0.005897,,
LOG000079,20251231_050719,fact_rush_events,2025-12-31T05:07:21.715771,2025-12-31T05:07:21.720535,success,0,199,0,0,0.004764,,
LOG000080,20251231_050719,fact_scoring_chances,2025-12-31T05:07:21.724589,2025-12-31T05:07:21.730617,success,0,451,0,0,0.006028,,
LOG000081,20251231_050719,fact_sequences,2025-12-31T05:07:21.734982,2025-12-31T05:07:21.754306,success,0,1088,0,0,0.019324,,
