game_id,season_id,entry_event_id,shot_event_id,events_to_shot,is_rush,entry_type,rush_type,is_goal,zone_entry_type_id,rush_key,video_time_start,video_time_end
18981,N20252026F,EV1898101476,EV1898101479,3,True,other,other,False,ZE0009,RU1898101476,2358.0,2362.0
18981,N20252026F,EV1898101497,EV1898101500,3,True,other,other,False,ZE0009,RU1898101497,2420.0,2423.0
18981,N20252026F,EV1898101509,EV1898101511,2,True,other,other,False,ZE0009,RU1898101509,2441.0,2447.0
18981,N20252026F,EV1898101526,EV1898101527,1,True,other,other,False,ZE0009,RU1898101526,2483.0,2484.0
18981,N20252026F,EV1898101563,EV1898101567,4,True,other,other,False,ZE0009,RU1898101563,2540.0,2555.0
18981,N20252026F,EV1898101566,EV1898101567,1,True,other,other,False,ZE0009,RU1898101566,2553.0,2555.0
18981,N20252026F,EV1898101643,EV1898101645,2,True,other,other,False,ZE0009,RU1898101643,2752.0,2757.0
18981,N20252026F,EV1898101688,EV1898101690,2,True,other,other,False,ZE0009,RU1898101688,2850.0,2856.0
18981,N20252026F,EV1898101719,EV1898101720,1,True,other,other,False,ZE0009,RU1898101719,2926.0,2927.0
18981,N20252026F,EV1898101747,EV1898101748,1,True,other,other,False,ZE0009,RU1898101747,3002.0,3005.0
18981,N20252026F,EV1898101785,EV1898101786,1,True,other,other,False,ZE0009,RU1898101785,3082.0,3084.0
18981,N20252026F,EV1898101797,EV1898101800,3,True,other,other,False,ZE0009,RU1898101797,3124.0,3127.0
18981,N20252026F,EV1898101869,EV1898101873,4,True,dump,dump_chase,False,,RU1898101869,3251.0,3262.0
18981,N20252026F,EV1898101889,EV1898101890,1,True,other,other,False,ZE0009,RU1898101889,4361.0,4363.0
18981,N20252026F,EV1898101923,EV1898101924,1,True,other,other,False,ZE0009,RU1898101923,4439.0,4440.0
18981,N20252026F,EV1898101928,EV1898101932,4,True,other,other,False,ZE0009,RU1898101928,4455.0,4458.0
18981,N20252026F,EV1898101946,EV1898101950,4,True,other,other,False,ZE0009,RU1898101946,4507.0,4518.0
18981,N20252026F,EV1898102002,EV1898102003,1,True,other,other,False,ZE0009,RU1898102002,4606.0,4606.0
18981,N20252026F,EV1898102052,EV1898102055,3,True,other,other,False,ZE0009,RU1898102052,4737.0,4744.0
18981,N20252026F,EV1898102065,EV1898102066,1,True,other,other,False,ZE0009,RU1898102065,4766.0,4767.0
18981,N20252026F,EV1898102093,EV1898102097,4,True,other,other,False,ZE0009,RU1898102093,4891.0,4898.0
18981,N20252026F,EV1898102102,EV1898102103,1,True,other,other,False,ZE0009,RU1898102102,4906.0,4908.0
18981,N20252026F,EV1898102166,EV1898102167,1,True,other,other,False,ZE0009,RU1898102166,5073.0,5076.0
18981,N20252026F,EV1898102180,EV1898102185,5,True,other,other,False,ZE0009,RU1898102180,5120.0,5132.0
18981,N20252026F,EV1898102210,EV1898102213,3,True,other,other,False,ZE0009,RU1898102210,5188.0,5192.0
18981,N20252026F,EV1898102250,EV1898102253,3,True,other,other,False,ZE0009,RU1898102250,5310.0,5319.0
18981,N20252026F,EV1898102261,EV1898102263,2,True,other,other,False,ZE0009,RU1898102261,5330.0,5337.0
18987,N20252026F,EV1898701011,EV1898701012,1,True,other,other,False,ZE0009,RU1898701011,134.0,135.0
18987,N20252026F,EV1898701039,EV1898701040,1,True,other,other,False,ZE0009,RU1898701039,168.0,170.0
18987,N20252026F,EV1898701057,EV1898701062,5,True,other,other,False,ZE0009,RU1898701057,195.0,201.0
18987,N20252026F,EV1898701087,EV1898701092,5,True,other,other,False,ZE0009,RU1898701087,235.0,250.0
18987,N20252026F,EV1898701101,EV1898701102,1,True,other,other,False,ZE0009,RU1898701101,283.0,285.0
18987,N20252026F,EV1898701208,EV1898701212,4,True,other,other,False,ZE0009,RU1898701208,448.0,454.0
18987,N20252026F,EV1898701235,EV1898701236,1,True,other,other,False,ZE0009,RU1898701235,494.0,496.0
18987,N20252026F,EV1898701251,EV1898701254,3,True,other,other,False,ZE0009,RU1898701251,516.0,525.0
18987,N20252026F,EV1898701312,EV1898701313,1,True,other,other,False,ZE0009,RU1898701312,626.0,629.0
18987,N20252026F,EV1898701330,EV1898701335,5,True,other,other,False,ZE0009,RU1898701330,652.0,659.0
18987,N20252026F,EV1898701446,EV1898701448,2,True,other,other,False,ZE0009,RU1898701446,911.0,915.0
18987,N20252026F,EV1898701532,EV1898701534,2,True,other,other,False,ZE0009,RU1898701532,1104.0,1107.0
18987,N20252026F,EV1898701541,EV1898701542,1,True,other,other,False,ZE0009,RU1898701541,1116.0,1118.0
18987,N20252026F,EV1898701566,EV1898701567,1,True,other,other,False,ZE0009,RU1898701566,1163.0,1164.0
18987,N20252026F,EV1898701573,EV1898701575,4,True,other,other,False,ZE0009,RU1898701573,1191.0,1199.0
18987,N20252026F,EV1898701627,EV1898701628,1,True,other,other,False,ZE0009,RU1898701627,2335.0,2336.0
18987,N20252026F,EV1898701643,EV1898701644,1,True,other,other,False,ZE0009,RU1898701643,2365.0,2367.0
18987,N20252026F,EV1898701683,EV1898701684,1,True,other,other,False,ZE0009,RU1898701683,2460.0,2463.0
18987,N20252026F,EV1898701702,EV1898701704,2,True,other,other,False,ZE0009,RU1898701702,2497.0,2501.0
18987,N20252026F,EV1898701739,EV1898701740,1,True,other,other,False,ZE0009,RU1898701739,2567.0,2570.0
18987,N20252026F,EV1898701755,EV1898701759,4,True,other,other,False,ZE0009,RU1898701755,2606.0,2612.0
18987,N20252026F,EV1898701787,EV1898701792,5,True,other,other,False,ZE0009,RU1898701787,2671.0,2678.0
18987,N20252026F,EV1898701820,EV1898701825,5,True,other,other,False,ZE0009,RU1898701820,2758.0,2771.0
18987,N20252026F,EV1898701854,EV1898701855,1,True,other,other,False,ZE0009,RU1898701854,2835.0,2836.0
18987,N20252026F,EV1898701859,EV1898701864,5,True,other,other,False,ZE0009,RU1898701859,2842.0,2851.0
18987,N20252026F,EV1898701861,EV1898701864,3,True,other,other,False,ZE0009,RU1898701861,2846.0,2851.0
18987,N20252026F,EV1898701882,EV1898701887,5,True,other,other,False,ZE0009,RU1898701882,2882.0,2889.0
18987,N20252026F,EV1898701886,EV1898701887,1,True,other,other,False,ZE0009,RU1898701886,2887.0,2889.0
18987,N20252026F,EV1898701891,EV1898701894,3,True,other,other,False,ZE0009,RU1898701891,2895.0,2901.0
18987,N20252026F,EV1898701907,EV1898701909,2,True,other,other,False,ZE0009,RU1898701907,2918.0,2920.0
18987,N20252026F,EV1898701928,EV1898701930,2,True,other,other,False,ZE0009,RU1898701928,2945.0,2946.0
18987,N20252026F,EV1898701947,EV1898701948,1,True,other,other,False,ZE0009,RU1898701947,2991.0,2993.0
18987,N20252026F,EV1898701953,EV1898701957,4,True,dump,dump_chase,False,,RU1898701953,3003.0,3012.0
18987,N20252026F,EV1898701964,EV1898701965,1,True,other,other,False,ZE0009,RU1898701964,3021.0,3022.0
18987,N20252026F,EV1898701985,EV1898701986,1,True,other,other,False,ZE0009,RU1898701985,3105.0,3107.0
18987,N20252026F,EV1898702000,EV1898702002,2,True,other,other,False,ZE0009,RU1898702000,3129.0,3131.0
18987,N20252026F,EV1898702009,EV1898702010,1,True,other,other,False,ZE0009,RU1898702009,3142.0,3143.0
18987,N20252026F,EV1898702043,EV1898702047,4,True,other,other,False,ZE0009,RU1898702043,3199.0,3211.0
18987,N20252026F,EV1898702075,EV1898702079,4,True,other,other,False,ZE0009,RU1898702075,3265.0,3271.0
18987,N20252026F,EV1898702089,EV1898702091,2,True,other,other,False,ZE0009,RU1898702089,3296.0,3298.0
18987,N20252026F,EV1898702133,EV1898702136,3,True,other,other,False,ZE0009,RU1898702133,4385.0,4393.0
18987,N20252026F,EV1898702148,EV1898702149,1,True,other,other,False,ZE0009,RU1898702148,4408.0,4412.0
18987,N20252026F,EV1898702155,EV1898702157,2,True,other,other,False,ZE0009,RU1898702155,4442.0,4445.0
18987,N20252026F,EV1898702165,EV1898702166,1,True,other,other,False,ZE0009,RU1898702165,4455.0,4457.0
18987,N20252026F,EV1898702183,EV1898702185,2,True,other,other,False,ZE0009,RU1898702183,4498.0,4501.0
18987,N20252026F,EV1898702193,EV1898702195,2,True,other,other,False,ZE0009,RU1898702193,4512.0,4515.0
18987,N20252026F,EV1898702242,EV1898702244,2,True,other,other,False,ZE0009,RU1898702242,4626.0,4630.0
18987,N20252026F,EV1898702335,EV1898702338,3,True,other,other,False,ZE0009,RU1898702335,4875.0,4881.0
18987,N20252026F,EV1898702357,EV1898702360,3,True,other,other,False,ZE0009,RU1898702357,4923.0,4929.0
18987,N20252026F,EV1898702374,EV1898702376,2,True,other,other,False,ZE0009,RU1898702374,4954.0,4957.0
18987,N20252026F,EV1898702422,EV1898702426,4,True,other,other,False,ZE0009,RU1898702422,5091.0,5099.0
18987,N20252026F,EV1898702452,EV1898702453,1,True,other,other,False,ZE0009,RU1898702452,5175.0,5176.0
18987,N20252026F,EV1898702513,EV1898702514,1,True,other,other,False,ZE0009,RU1898702513,5278.0,5281.0
18987,N20252026F,EV1898702520,EV1898702524,4,True,other,other,False,ZE0009,RU1898702520,5295.0,5306.0
18987,N20252026F,EV1898702543,EV1898702545,2,True,other,other,False,ZE0009,RU1898702543,5349.0,5353.0
