event_player_key,event_key,game_id,player_id,event_index,player_role,role_number,period,event_type,player_game_number,linked_event_index,tracking_event_index,event_start_min,event_start_sec,event_end_min,event_end_sec,role_abrev,event_team_zone,home_team_zone,away_team_zone,team_venue,team_venue_abv,side_of_puck,sequence_index,play_index,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,zone_change_index,home_team,away_team,Type,event_detail,event_detail_2,event_successful,shift_index,duration,time_start_total_seconds,time_end_total_seconds,running_intermission_duration,period_start_total_running_seconds,running_video_time,event_running_start,event_running_end,player_team,player_name,play_detail,period_id,venue_id,event_type_id,event_detail_id,event_detail_2_id,success_id,play_detail_success_id,zone_id,play_detail_id,play_detail_2_id,role_id,home_team_id,away_team_id,player_team_id,shift_key
EP1898107463,EV1898101721,18981,P100093,1721.0,event_team_player_1,1.0,2.0,Shot,93.0,,1721.0,6.0,13.0,,,e,o,d,,Away,a,Offensive,,,,,,,312.0,Nelson,Velodrome,Shot,Shot_Missed,Shot-Wrist,,60.0,0.0,373.0,373.0,72.0,1152.0,1859.0,1854.0,1859.0,Velodrome,Pat Major,,P0002,VN0002,ET0016,ED0038,E20062,,,ZN0001,,,RL0001,N10004,N10010,N10010,SH1898100060
EP1898107464,EV1898101722,18981,P100197,1722.0,event_team_player_1,1.0,2.0,Possession,80.0,,1722.0,6.0,6.0,6.0,4.0,e,,,,Home,h,Offensive,,,,,,,312.0,Nelson,Velodrome,Possession,,,,61.0,2.0,366.0,364.0,72.0,1152.0,1866.0,1861.0,1868.0,Nelson,Samuel Yetsko,,P0002,VN0001,ET0013,,,,,,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107465,EV1898101723,18981,P100197,1723.0,event_team_player_1,1.0,2.0,Pass,80.0,,1723.0,6.0,4.0,,,e,,,,Home,h,Offensive,,,,,,,312.0,Nelson,Velodrome,Pass,Pass_Missed,Pass-Stretch,,61.0,0.0,364.0,364.0,72.0,1152.0,1868.0,1863.0,1868.0,Nelson,Samuel Yetsko,,P0002,VN0001,ET0009,ED0011,E20032,,,,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107466,EV1898101723,18981,P100072,1723.0,event_team_player_2,2.0,2.0,Pass,7.0,,1723.0,6.0,4.0,,,e,,,,Home,h,Offensive,,,,,,,312.0,Nelson,Velodrome,Pass,Pass_Missed,Pass-Stretch,,61.0,0.0,364.0,364.0,72.0,1152.0,1868.0,1863.0,1868.0,Nelson,Bobby Dickinson,,P0002,VN0001,ET0009,ED0011,E20032,,,,,,RL0002,N10004,N10010,N10004,SH1898100061
EP1898107467,EV1898101723,18981,P100001,1723.0,opp_team_player_1,1.0,2.0,Pass,70.0,,1723.0,6.0,4.0,,,o,,,,Home,h,Defensive,,,,,,,312.0,Nelson,Velodrome,Pass,Pass_Missed,Pass-Stretch,,61.0,0.0,364.0,364.0,72.0,1152.0,1868.0,1863.0,1868.0,Velodrome,Sam Downs,,P0002,VN0001,ET0009,ED0011,E20032,,,,,,RL0008,N10004,N10010,N10010,SH1898100061
EP1898107468,EV1898101724,18981,P100197,1724.0,event_team_player_1,1.0,2.0,Zone_Entry_Exit,80.0,,1724.0,6.0,4.0,,,e,d,d,,Home,h,Offensive,,,,,,,313.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,,61.0,0.0,364.0,364.0,72.0,1152.0,1868.0,1863.0,1868.0,Nelson,Samuel Yetsko,,P0002,VN0001,ET0020,ED0053,E20094,,,ZN0002,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107469,EV1898101724,18981,P100072,1724.0,event_team_player_2,2.0,2.0,Zone_Entry_Exit,7.0,,1724.0,6.0,4.0,,,e,d,d,,Home,h,Offensive,,,,,,,314.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,,61.0,0.0,364.0,364.0,72.0,1152.0,1868.0,1863.0,1868.0,Nelson,Bobby Dickinson,,P0002,VN0001,ET0020,ED0053,E20094,,,ZN0002,,,RL0002,N10004,N10010,N10004,SH1898100061
EP1898107470,EV1898101724,18981,P100001,1724.0,opp_team_player_1,1.0,2.0,Zone_Entry_Exit,70.0,,1724.0,6.0,4.0,,,o,d,d,,Home,h,Defensive,,,,,,,315.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,,61.0,0.0,364.0,364.0,72.0,1152.0,1868.0,1863.0,1868.0,Velodrome,Sam Downs,,P0002,VN0001,ET0020,ED0053,E20094,,,ZN0002,,,RL0008,N10004,N10010,N10010,SH1898100061
EP1898107471,EV1898101725,18981,P100197,1725.0,event_team_player_1,1.0,2.0,Zone_Entry_Exit,80.0,,1725.0,6.0,4.0,,,e,o,o,,Home,h,Offensive,,,,,,,316.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Entry,ZoneEntry-PassMiss/Misplay,,61.0,0.0,364.0,364.0,72.0,1152.0,1868.0,1863.0,1868.0,Nelson,Samuel Yetsko,,P0002,VN0001,ET0020,ED0052,E20084,,,ZN0001,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107472,EV1898101726,18981,P100197,1726.0,event_team_player_1,1.0,2.0,Turnover,80.0,,1726.0,6.0,4.0,,,e,,,,Home,h,Offensive,,,,,,,316.0,Nelson,Velodrome,Turnover,Turnover_Giveaway,Giveaway-ZoneEntry/ExitMisplay,,61.0,0.0,364.0,364.0,72.0,1152.0,1868.0,1863.0,1868.0,Nelson,Samuel Yetsko,,P0002,VN0001,ET0019,ED0048,E20015,,,,,,RL0001,N10004,N10010,N10004,SH1898100061
