table_name,table_type,column_name,data_type
fact_cycle_events,BASE TABLE,end_time,bigint
fact_cycle_events,BASE TABLE,duration_seconds,bigint
fact_cycle_events,BASE TABLE,ended_with,text
fact_cycle_events,BASE TABLE,ended_with_shot,bigint
fact_cycle_events,BASE TABLE,ended_with_goal,bigint
fact_cycle_events,BASE TABLE,event_ids,text
fact_cycle_events,BASE TABLE,player_ids,text
fact_cycle_events,BASE TABLE,period,bigint
fact_cycle_events,BASE TABLE,period_id,text
fact_draft,BASE TABLE,team_id,text
fact_draft,BASE TABLE,skill_rating,bigint
fact_draft,BASE TABLE,round,bigint
fact_draft,BASE TABLE,player_full_name,text
fact_draft,BASE TABLE,player_id,text
fact_draft,BASE TABLE,team_name,text
fact_draft,BASE TABLE,restricted,boolean
fact_draft,BASE TABLE,overall_draft_round,bigint
fact_draft,BASE TABLE,overall_draft_position,bigint
fact_draft,BASE TABLE,unrestricted_draft_position,bigint
fact_draft,BASE TABLE,season,bigint
fact_draft,BASE TABLE,season_id,text
fact_draft,BASE TABLE,league,text
fact_draft,BASE TABLE,player_draft_id,text
fact_event_chains,BASE TABLE,chain_key,text
fact_event_chains,BASE TABLE,game_id,bigint
fact_event_chains,BASE TABLE,chain_id,bigint
